metric,dataset,value
RMSE,train,1.2806230046631095
RMSE,train,1.2775452400360008
RMSE,train,1.2511624239574104
RMSE,train,1.2494757422318756
RMSE,train,1.2387771134576988
RMSE,train,1.2688138952395427
RMSE,train,1.2503519895716102
RMSE,train,1.2381833783925633
RMSE,train,1.2817134343342216
RMSE,train,1.2747890147986913
RMSE,test,1.6842897573017857
RMSE,test,1.6626703529740017
RMSE,test,1.7297322455360145
RMSE,test,1.9384043548037617
RMSE,test,2.0547244260199253
RMSE,test,1.8560612593738328
RMSE,test,2.050929467724478
RMSE,test,1.9055481418814493
RMSE,test,1.8507906717154488
RMSE,test,1.6927699743447373
R2,train,0.8194511527713046
R2,train,0.818633544861351
R2,train,0.8299663695190391
R2,train,0.8268201339208388
R2,train,0.8286815987659176
R2,train,0.8218279059213186
R2,train,0.8274457968966957
R2,train,0.8317405659337276
R2,train,0.8147288813957498
R2,train,0.8221901242465406
R2,test,0.6751406971553442
R2,test,0.7044695144267913
R2,test,0.6075841784475732
R2,test,0.5980275275943367
R2,test,0.5717914037846982
R2,test,0.6145886354224737
R2,test,0.5280541269393354
R2,test,0.5714251009989036
R2,test,0.6687826691365633
R2,test,0.6493172967840014
MAE,train,0.9725082161854662
MAE,train,0.9653829524513663
MAE,train,0.9494227075084726
MAE,train,0.9468114509168766
MAE,train,0.9431026075426738
MAE,train,0.9618232116357248
MAE,train,0.9520357378382188
MAE,train,0.9407852127212895
MAE,train,0.9712429474718305
MAE,train,0.9730694119724398
MAE,test,1.288476010772158
MAE,test,1.3050343416614874
MAE,test,1.3274969855634124
MAE,test,1.4495944198147008
MAE,test,1.6100102328228485
MAE,test,1.4284816973071663
MAE,test,1.5411419751081656
MAE,test,1.4409692710693656
MAE,test,1.3897613468409222
MAE,test,1.28894441122994
Fit_time,train,3.070368766784668
Fit_time,train,3.18611216545105
Fit_time,train,3.0558278560638428
Fit_time,train,2.997849225997925
Fit_time,train,2.9370334148406982
Fit_time,train,2.8886020183563232
Fit_time,train,2.746955633163452
Fit_time,train,2.79483699798584
Fit_time,train,2.737579345703125
Fit_time,train,2.787607192993164
Fit_time,test,0.007002353668212891
Fit_time,test,0.008007049560546875
Fit_time,test,0.0069997310638427734
Fit_time,test,0.00800180435180664
Fit_time,test,0.007003068923950195
Fit_time,test,0.0070002079010009766
Fit_time,test,0.006999492645263672
Fit_time,test,0.0070002079010009766
Fit_time,test,0.006510019302368164
Fit_time,test,0.0070018768310546875
