metric,dataset,value
RMSE,train,1.9660330295834518
RMSE,train,2.1011136508072092
RMSE,train,1.973573739490445
RMSE,train,2.1868225138455495
RMSE,train,2.051939776929267
RMSE,train,2.0446845994520944
RMSE,train,1.9254639772360498
RMSE,train,2.1443611452771925
RMSE,train,1.88605735669748
RMSE,train,1.987225925093851
RMSE,test,1.7083453046177668
RMSE,test,2.017157748096759
RMSE,test,1.912908276131199
RMSE,test,2.3237794605211866
RMSE,test,2.190074169000369
RMSE,test,2.072570950866221
RMSE,test,2.1343720152626
RMSE,test,2.180961755983078
RMSE,test,2.032874294224354
RMSE,test,1.8187218785160149
R2,train,0.5744665265083313
R2,train,0.5094271898269653
R2,train,0.5769281387329102
R2,train,0.4695202112197876
R2,train,0.5299469828605652
R2,train,0.5373032093048096
R2,train,0.5908036231994629
R2,train,0.4953324794769287
R2,train,0.5988233685493469
R2,train,0.5679104924201965
R2,test,0.6657949686050415
R2,test,0.5650196075439453
R2,test,0.5200709700584412
R2,test,0.42230671644210815
R2,test,0.5135190486907959
R2,test,0.5194277763366699
R2,test,0.48887044191360474
R2,test,0.43858635425567627
R2,test,0.6004054546356201
R2,test,0.595190167427063
MAE,train,1.5368316173553467
MAE,train,1.640242099761963
MAE,train,1.5283112525939941
MAE,train,1.7295254468917847
MAE,train,1.6017414331436157
MAE,train,1.5977177619934082
MAE,train,1.5027610063552856
MAE,train,1.6836100816726685
MAE,train,1.4597798585891724
MAE,train,1.5399041175842285
MAE,test,1.3396320343017578
MAE,test,1.5499236583709717
MAE,test,1.4732285737991333
MAE,test,1.8118351697921753
MAE,test,1.7350139617919922
MAE,test,1.5838627815246582
MAE,test,1.6367913484573364
MAE,test,1.682795763015747
MAE,test,1.5689536333084106
MAE,test,1.427985429763794
