metric,dataset,value
RMSE,train,1.324421073396549
RMSE,train,1.3320771915399385
RMSE,train,1.3331341467856397
RMSE,train,1.3425060576161931
RMSE,train,1.3104158932392043
RMSE,train,1.308035073479254
RMSE,train,1.3116897297551025
RMSE,train,1.321483011242357
RMSE,train,1.3243913173421882
RMSE,train,1.2969708460459914
RMSE,test,1.743995872650533
RMSE,test,1.7859751957120413
RMSE,test,1.8339923030108627
RMSE,test,1.875182919859039
RMSE,test,2.01516991721012
RMSE,test,1.9661111760547216
RMSE,test,1.9573309250391058
RMSE,test,1.9141752047517682
RMSE,test,1.9380465881961482
RMSE,test,1.7894341281613124
R2,train,0.8068902122650656
R2,train,0.8028198590869229
R2,train,0.8069565158706181
R2,train,0.8000717109244961
R2,train,0.8082938832505651
R2,train,0.8106424566332355
R2,train,0.8101007718098248
R2,train,0.8083394839778192
R2,train,0.8021853278677534
R2,train,0.8159483642652506
R2,test,0.6517007025835031
R2,test,0.6590106403427975
R2,test,0.5588525600616636
R2,test,0.62382074970955
R2,test,0.588119191473464
R2,test,0.5675299383391585
R2,test,0.5701476966022727
R2,test,0.5675357086723758
R2,test,0.6368158602014049
R2,test,0.6081229018931333
MAE,train,1.0111992596096988
MAE,train,1.011074465056791
MAE,train,1.0140229369426295
MAE,train,1.0208641718177471
MAE,train,0.9954624942475625
MAE,train,0.9968249329718819
MAE,train,0.9987126611338297
MAE,train,1.004338385988615
MAE,train,1.013494962741325
MAE,train,0.988104758898969
MAE,test,1.3249617574758945
MAE,test,1.3708738263256537
MAE,test,1.3954506595287863
MAE,test,1.3988702095358791
MAE,test,1.5630279329162176
MAE,test,1.454958078048871
MAE,test,1.4848550370574456
MAE,test,1.497281062506833
MAE,test,1.4763529283409178
MAE,test,1.3677947375222121
