metric,dataset,value
RMSE,train,1.2322855668795225
RMSE,train,1.2298645970497153
RMSE,train,1.2350720313464625
RMSE,train,1.2260559873216919
RMSE,train,1.2109092188252963
RMSE,train,1.2102918054879468
RMSE,train,1.1952560739955198
RMSE,train,1.2493786531632156
RMSE,train,1.2597825366886484
RMSE,train,1.2520783547621612
RMSE,test,1.7195887378809793
RMSE,test,1.8312248007517145
RMSE,test,1.8213027970248978
RMSE,test,2.1443431512791755
RMSE,test,2.2346200453622567
RMSE,test,2.1368578552183464
RMSE,test,2.138814588986524
RMSE,test,2.0522273670273727
RMSE,test,2.0139883005547183
RMSE,test,1.8239627392286457
R2,train,0.8328236475052937
R2,train,0.8319188586638476
R2,train,0.8343116334856824
R2,train,0.8332513423441572
R2,train,0.8363029557690825
R2,train,0.8378846949795309
R2,train,0.8423177232304458
R2,train,0.8286841098429659
R2,train,0.8210148424271474
R2,train,0.8284691383304963
R2,test,0.6613813475609011
R2,test,0.641513088215329
R2,test,0.564936093578923
R2,test,0.5080781314849008
R2,test,0.4935278206806437
R2,test,0.4891526183420627
R2,test,0.4867404744152013
R2,test,0.502906790667372
R2,test,0.6077957134253072
R2,test,0.5928538094609166
MAE,train,0.9166313558338592
MAE,train,0.9155736228676004
MAE,train,0.9168790346801404
MAE,train,0.9148356646829129
MAE,train,0.9007561600624301
MAE,train,0.9076839452362635
MAE,train,0.8951280721363539
MAE,train,0.9384736541266856
MAE,train,0.944315109020133
MAE,train,0.9332762449602433
MAE,test,1.345028313821096
MAE,test,1.401122332156887
MAE,test,1.322671816910702
MAE,test,1.6335783632585927
MAE,test,1.6655680571802047
MAE,test,1.630394119101869
MAE,test,1.6072104495638457
MAE,test,1.5429820946080353
MAE,test,1.5056542714963532
MAE,test,1.401175647609895
