metric,dataset,value
RMSE,train,1.2564704739288703
RMSE,train,1.2789565890582504
RMSE,train,1.2663691085402795
RMSE,train,1.2843404597345394
RMSE,train,1.2580121194671638
RMSE,train,1.2739224818332118
RMSE,train,1.2677969773902829
RMSE,train,1.2852899521926062
RMSE,train,1.2616750886072674
RMSE,train,1.2969678510634082
RMSE,test,1.7347454072913089
RMSE,test,1.6299669905956273
RMSE,test,1.7288000396152166
RMSE,test,1.7715912543784589
RMSE,test,2.044132541589175
RMSE,test,1.910043493735108
RMSE,test,1.9083089191592302
RMSE,test,1.8235288727417651
RMSE,test,1.781342034588301
RMSE,test,1.7542761810446992
R2,train,0.8261972288426458
R2,train,0.818232599749779
R2,train,0.825808059171224
R2,train,0.8170206545972446
R2,train,0.8233200300584738
R2,train,0.820390279891125
R2,train,0.8225972337946984
R2,train,0.8186941950171913
R2,train,0.820476665187081
R2,train,0.815949214293312
R2,test,0.6553857866922039
R2,test,0.7159808651913009
R2,test,0.6080070343889417
R2,test,0.6642356252225575
R2,test,0.5761947639676286
R2,test,0.591843781266391
R2,test,0.591409652322028
R2,test,0.6075248455392079
R2,test,0.6931733477971364
R2,test,0.6233704556091679
MAE,train,0.9799535140227449
MAE,train,0.9882982322300252
MAE,train,0.9837564531854184
MAE,train,0.9969887489092181
MAE,train,0.9752506475377191
MAE,train,0.9880280553556302
MAE,train,0.980308392771163
MAE,train,0.992171166892006
MAE,train,0.9822306300966123
MAE,train,1.0035116409825935
MAE,test,1.3390724406845578
MAE,test,1.2745980731807145
MAE,test,1.292343176262338
MAE,test,1.3466351623155586
MAE,test,1.5634089671302462
MAE,test,1.4199765067728938
MAE,test,1.4392085127670127
MAE,test,1.4273570681583594
MAE,test,1.3747598693115102
MAE,test,1.3537005332364427
