metric,dataset,value
RMSE,train,0.8080260638268149
RMSE,train,0.8047842689771266
RMSE,train,0.8369693626552827
RMSE,train,0.8172836334692021
RMSE,train,0.8158310319389429
RMSE,train,0.7970166547942453
RMSE,train,0.840569577286795
RMSE,train,0.8170310372115044
RMSE,train,0.8420698603918046
RMSE,train,0.8138660171826276
RMSE,test,1.6270450048617153
RMSE,test,1.5909332366448643
RMSE,test,1.655934285716695
RMSE,test,1.7739913008518522
RMSE,test,2.037055419909571
RMSE,test,1.8291462711016866
RMSE,test,1.8806474195863707
RMSE,test,1.7688889169227069
RMSE,test,1.7122378350503986
RMSE,test,1.5976645322552363
R2,train,0.9281208515167236
R2,train,0.9280280470848083
R2,train,0.9239102005958557
R2,train,0.9259052872657776
R2,train,0.92569500207901
R2,train,0.9296962022781372
R2,train,0.9220154881477356
R2,train,0.9267367124557495
R2,train,0.920030951499939
R2,train,0.927525520324707
R2,test,0.6968477368354797
R2,test,0.7294211387634277
R2,test,0.6403542757034302
R2,test,0.663325309753418
R2,test,0.5791242718696594
R2,test,0.625685453414917
R2,test,0.6031690835952759
R2,test,0.6306926012039185
R2,test,0.7165172100067139
R2,test,0.6876153945922852
MAE,train,0.6220636367797852
MAE,train,0.6232383847236633
MAE,train,0.6475412845611572
MAE,train,0.6269960403442383
MAE,train,0.6248972415924072
MAE,train,0.6162375211715698
MAE,train,0.6473341584205627
MAE,train,0.6316554546356201
MAE,train,0.6478191018104553
MAE,train,0.626090943813324
MAE,test,1.2529064416885376
MAE,test,1.2106287479400635
MAE,test,1.2533304691314697
MAE,test,1.3348389863967896
MAE,test,1.5473735332489014
MAE,test,1.3197388648986816
MAE,test,1.4041738510131836
MAE,test,1.3440189361572266
MAE,test,1.2779111862182617
MAE,test,1.2070326805114746
