metric,dataset,value
RMSE,train,0.8110294973415989
RMSE,train,0.8556461237437816
RMSE,train,0.8551369289151103
RMSE,train,0.8357347260293857
RMSE,train,0.8182638472199201
RMSE,train,0.8066829642575224
RMSE,train,0.8566346258326507
RMSE,train,0.8512400095237149
RMSE,train,0.8458652473091546
RMSE,train,0.8328687723984121
RMSE,test,1.6550814266860654
RMSE,test,1.6271560011236776
RMSE,test,1.7134340787773756
RMSE,test,1.863481298939813
RMSE,test,2.049620556023855
RMSE,test,1.8937395781680342
RMSE,test,1.9009058725289925
RMSE,test,1.831842994371303
RMSE,test,1.8313939789815843
RMSE,test,1.5783412520798434
R2,train,0.9275855422019958
R2,train,0.9186434149742126
R2,train,0.9205710887908936
R2,train,0.9225219488143921
R2,train,0.9252511858940125
R2,train,0.9279806017875671
R2,train,0.9190061092376709
R2,train,0.9204732179641724
R2,train,0.9193084239959717
R2,train,0.9241016507148743
R2,test,0.6863101720809937
R2,test,0.7169596552848816
R2,test,0.614944338798523
R2,test,0.6285010576248169
R2,test,0.5739160776138306
R2,test,0.5987820625305176
R2,test,0.5945736169815063
R2,test,0.6039378643035889
R2,test,0.6756887435913086
R2,test,0.6951260566711426
MAE,train,0.6267637014389038
MAE,train,0.6589014530181885
MAE,train,0.6617950201034546
MAE,train,0.641888439655304
MAE,train,0.629480242729187
MAE,train,0.6237607598304749
MAE,train,0.6616945862770081
MAE,train,0.6547553539276123
MAE,train,0.652856707572937
MAE,train,0.6400272846221924
MAE,test,1.2539185285568237
MAE,test,1.2379642724990845
MAE,test,1.3014769554138184
MAE,test,1.393125295639038
MAE,test,1.563692331314087
MAE,test,1.3829234838485718
MAE,test,1.4523195028305054
MAE,test,1.4093378782272339
MAE,test,1.3456451892852783
MAE,test,1.2217328548431396
