metric,dataset,value
RMSE,train,2.2760365105635305
RMSE,train,2.250711328598178
RMSE,train,2.3247205176600243
RMSE,train,2.238518347839866
RMSE,train,2.218189437330097
RMSE,train,2.1476769783182577
RMSE,train,2.1903137638949954
RMSE,train,2.1819093379933117
RMSE,train,2.219011210794482
RMSE,train,2.2399895824462606
RMSE,test,2.579407713867257
RMSE,test,2.3971121540146094
RMSE,test,2.3601501404153793
RMSE,test,2.7606318168046426
RMSE,test,2.8086923892297095
RMSE,test,2.721820894704338
RMSE,test,2.8938605268886874
RMSE,test,2.5546665015801286
RMSE,test,2.735766509075911
RMSE,test,2.6619795993622217
R2,train,0.42969053983688354
R2,train,0.43708348274230957
R2,train,0.41298532485961914
R2,train,0.44414305686950684
R2,train,0.4506932497024536
R2,train,0.4895164370536804
R2,train,0.47049063444137573
R2,train,0.4775041341781616
R2,train,0.44467800855636597
R2,train,0.45100146532058716
R2,test,0.23809349536895752
R2,test,0.3857195973396301
R2,test,0.2694196105003357
R2,test,0.1846867799758911
R2,test,0.19987738132476807
R2,test,0.17118239402770996
R2,test,0.060393571853637695
R2,test,0.22970813512802124
R2,test,0.27630335092544556
R2,test,0.13278275728225708
MAE,train,1.8091751337051392
MAE,train,1.788461685180664
MAE,train,1.8325926065444946
MAE,train,1.779987096786499
MAE,train,1.763624668121338
MAE,train,1.6883982419967651
MAE,train,1.73422372341156
MAE,train,1.7099872827529907
MAE,train,1.740505576133728
MAE,train,1.751110553741455
MAE,test,2.037226676940918
MAE,test,1.9028207063674927
MAE,test,1.9318729639053345
MAE,test,2.184069871902466
MAE,test,2.3057003021240234
MAE,test,2.150278091430664
MAE,test,2.3348567485809326
MAE,test,2.031486749649048
MAE,test,2.1799139976501465
MAE,test,2.142862558364868
Fit_time,train,41.94332027435303
Fit_time,train,42.481086015701294
Fit_time,train,42.33697152137756
Fit_time,train,42.52967405319214
Fit_time,train,42.13130450248718
Fit_time,train,41.85906100273132
Fit_time,train,46.823941469192505
Fit_time,train,51.62512516975403
Fit_time,train,46.41248059272766
Fit_time,train,43.746092796325684
Fit_time,test,0.022295713424682617
Fit_time,test,0.020999908447265625
Fit_time,test,0.019629478454589844
Fit_time,test,0.022753238677978516
Fit_time,test,0.020511865615844727
Fit_time,test,0.019508838653564453
Fit_time,test,0.029001474380493164
Fit_time,test,0.024016380310058594
Fit_time,test,0.026310205459594727
Fit_time,test,0.02500128746032715
