metric,dataset,value
RMSE,train,2.325361416526098
RMSE,train,2.256859495732462
RMSE,train,2.3122919349889077
RMSE,train,2.2482442363205744
RMSE,train,2.258015765375829
RMSE,train,2.2449581028484524
RMSE,train,2.255588161794489
RMSE,train,2.2841860545617223
RMSE,train,2.3281265361191976
RMSE,train,2.2551713430940556
RMSE,test,2.7825868801047005
RMSE,test,2.5564708959369087
RMSE,test,2.473956255995564
RMSE,test,2.8572099337197256
RMSE,test,2.9418589938854622
RMSE,test,2.7990553897393853
RMSE,test,2.960206759422847
RMSE,test,2.6537618315366034
RMSE,test,2.8410323015717753
RMSE,test,2.6698423986319333
R2,train,0.40470385551452637
R2,train,0.43400388956069946
R2,train,0.41924524307250977
R2,train,0.43930232524871826
R2,train,0.4307912588119507
R2,train,0.44222337007522583
R2,train,0.43846017122268677
R2,train,0.42737215757369995
R2,train,0.38872164487838745
R2,train,0.44353437423706055
R2,test,0.11333584785461426
R2,test,0.30133068561553955
R2,test,0.1972638964653015
R2,test,0.12664294242858887
R2,test,0.12220734357833862
R2,test,0.12347787618637085
R2,test,0.01681584119796753
R2,test,0.1687900424003601
R2,test,0.21953970193862915
R2,test,0.12765204906463623
MAE,train,1.8400225639343262
MAE,train,1.792100191116333
MAE,train,1.8279073238372803
MAE,train,1.7861087322235107
MAE,train,1.7787487506866455
MAE,train,1.780767560005188
MAE,train,1.7805888652801514
MAE,train,1.804142713546753
MAE,train,1.8516883850097656
MAE,train,1.7958225011825562
MAE,test,2.2218198776245117
MAE,test,2.0639331340789795
MAE,test,2.0887844562530518
MAE,test,2.271827220916748
MAE,test,2.411959171295166
MAE,test,2.2218270301818848
MAE,test,2.3903908729553223
MAE,test,2.0634589195251465
MAE,test,2.3135955333709717
MAE,test,2.198946952819824
Fit_time,train,28.549832344055176
Fit_time,train,47.87566614151001
Fit_time,train,46.08939981460571
Fit_time,train,45.75764846801758
Fit_time,train,45.07940053939819
Fit_time,train,41.26716709136963
Fit_time,train,28.491909503936768
Fit_time,train,28.24407458305359
Fit_time,train,28.58463215827942
Fit_time,train,28.68950319290161
Fit_time,test,0.024607419967651367
Fit_time,test,0.031356096267700195
Fit_time,test,0.022306442260742188
Fit_time,test,0.028603076934814453
Fit_time,test,0.025193214416503906
Fit_time,test,0.016492843627929688
Fit_time,test,0.01750636100769043
Fit_time,test,0.0161130428314209
Fit_time,test,0.013557910919189453
Fit_time,test,0.015257835388183594
