metric,dataset,value
RMSE,train,1.3877668263195575
RMSE,train,1.4102124614543727
RMSE,train,1.3937319751506279
RMSE,train,1.3873509252543794
RMSE,train,1.3694043021093847
RMSE,train,1.38020386408785
RMSE,train,1.3817985042578702
RMSE,train,1.3888056599880354
RMSE,train,1.385160905402943
RMSE,train,1.4004464794102631
RMSE,test,1.7168181215112044
RMSE,test,1.6198172032606384
RMSE,test,1.682518356158081
RMSE,test,1.9441052066434577
RMSE,test,1.98437241054129
RMSE,test,1.8940176389863204
RMSE,test,2.03151213752067
RMSE,test,1.942078728865633
RMSE,test,1.7289476788155898
RMSE,test,1.6883281428679366
R2,train,0.7879759503646812
R2,train,0.7790095611323239
R2,train,0.7890080092625696
R2,train,0.7864918793700839
R2,train,0.7906461063804024
R2,train,0.7891710188474486
R2,train,0.7892583384364216
R2,train,0.7883138520822017
R2,train,0.783615423420651
R2,train,0.7854086134115191
R2,test,0.6624716391603878
R2,test,0.7195070205764728
R2,test,0.6287141758226302
R2,test,0.5956596467315411
R2,test,0.6006124023104661
R2,test,0.5986641616120123
R2,test,0.5369481907318971
R2,test,0.5548354793810331
R2,test,0.7109572030706124
R2,test,0.6511552662944362
MAE,train,1.0877315630043658
MAE,train,1.0960302704152878
MAE,train,1.0923614063692613
MAE,train,1.0865242636009587
MAE,train,1.0676054940455715
MAE,train,1.0787552527628688
MAE,train,1.0783313283799716
MAE,train,1.0792940000861924
MAE,train,1.081468059935844
MAE,train,1.095852873921719
MAE,test,1.2556658881376528
MAE,test,1.2817005168729914
MAE,test,1.286413623215621
MAE,test,1.4660643155856188
MAE,test,1.5099591250628974
MAE,test,1.428540022345026
MAE,test,1.4916086720656043
MAE,test,1.4991960687544037
MAE,test,1.3561464904437501
MAE,test,1.325320593906926
