metric,dataset,value
RMSE,train,1.405714009873643
RMSE,train,1.4012171974517054
RMSE,train,1.429135657828143
RMSE,train,1.445231039739
RMSE,train,1.3755017822414153
RMSE,train,1.4004065120915643
RMSE,train,1.3715303658258682
RMSE,train,1.4274098393181707
RMSE,train,1.4092248150955928
RMSE,train,1.4318489263564833
RMSE,test,1.717203523808038
RMSE,test,1.7892654663709162
RMSE,test,1.6850952536538553
RMSE,test,1.9306668191751573
RMSE,test,2.1802066921975385
RMSE,test,1.9233561969116015
RMSE,test,2.041086398963477
RMSE,test,1.9285443970849894
RMSE,test,1.7933018486259786
RMSE,test,1.7906727698782228
R2,train,0.7824565217261037
R2,train,0.7818198148071134
R2,train,0.7781525951431165
R2,train,0.7683051916945838
R2,train,0.788777595847406
R2,train,0.7829538556399307
R2,train,0.7923787420132044
R2,train,0.7763819496551703
R2,train,0.7760317714650191
R2,train,0.7756770796839525
R2,test,0.6623200811066245
R2,test,0.6577530856358453
R2,test,0.6275760031726576
R2,test,0.6012302326116559
R2,test,0.5178928740910225
R2,test,0.5861343840773031
R2,test,0.53257329581426
R2,test,0.5610185554070688
R2,test,0.6890394888038458
R2,test,0.6075802014844689
MAE,train,1.0590824247626645
MAE,train,1.053690957071823
MAE,train,1.0816799306307978
MAE,train,1.090730629396026
MAE,train,1.0468083104915282
MAE,train,1.0629521632079753
MAE,train,1.0393438346176063
MAE,train,1.0847699276569525
MAE,train,1.0819155855950626
MAE,train,1.0837426841659554
MAE,test,1.3314616030689996
MAE,test,1.4167181621681912
MAE,test,1.3311864056273996
MAE,test,1.4397281149986763
MAE,test,1.68365006207529
MAE,test,1.421685746504848
MAE,test,1.5296599322325526
MAE,test,1.505247669811667
MAE,test,1.35290023765732
MAE,test,1.379898076731844
