metric,dataset,value
RMSE,train,0.6099070035497255
RMSE,train,0.6185361240973908
RMSE,train,0.612151331744904
RMSE,train,0.5957648600719578
RMSE,train,0.6007787210254864
RMSE,train,0.5956987753173231
RMSE,train,0.6107244350601663
RMSE,train,0.6089203390340294
RMSE,train,0.6260553645946949
RMSE,train,0.6145570307375198
RMSE,test,1.7632857047706263
RMSE,test,1.604500700522718
RMSE,test,1.721948427352287
RMSE,test,2.0207023537448863
RMSE,test,2.1081698905778166
RMSE,test,1.89976237014209
RMSE,test,2.055520894570764
RMSE,test,1.8975000145344616
RMSE,test,1.8723320615236432
RMSE,test,1.8008765025157294
R2,train,0.9590475996235968
R2,train,0.9574857496559156
R2,train,0.9592971293766914
R2,train,0.9606276344289003
R2,train,0.9597054091235858
R2,train,0.9607267134262015
R2,train,0.9588327784871659
R2,train,0.959305993928335
R2,train,0.9557970419239334
R2,train,0.9586758778369749
R2,test,0.6439532170346224
R2,test,0.7247864555991848
R2,test,0.6111079848455906
R2,test,0.5631702036686017
R2,test,0.5492254104285397
R2,test,0.5962258918243539
R2,test,0.5259386661040438
R2,test,0.5750376483253665
R2,test,0.6610277098530806
R2,test,0.6030952334623985
MAE,train,0.42765313781204745
MAE,train,0.4328916384567935
MAE,train,0.4273043355197797
MAE,train,0.4255651409231495
MAE,train,0.4248970940759635
MAE,train,0.4252510773231626
MAE,train,0.43315924873402517
MAE,train,0.4304196679742888
MAE,train,0.442275960643435
MAE,train,0.4371258697750108
MAE,test,1.3433908409679325
MAE,test,1.2659196549721436
MAE,test,1.349901730154887
MAE,test,1.496257864619997
MAE,test,1.6127100215176047
MAE,test,1.4271232932407445
MAE,test,1.5195097319296809
MAE,test,1.4960514545899655
MAE,test,1.4230897461669094
MAE,test,1.3412233724624205
Fit_time,train,2.0800371170043945
Fit_time,train,2.071289539337158
Fit_time,train,2.3886466026306152
Fit_time,train,2.1632518768310547
Fit_time,train,2.2618417739868164
Fit_time,train,2.038125991821289
Fit_time,train,2.0069007873535156
Fit_time,train,1.970344066619873
Fit_time,train,2.001574993133545
Fit_time,train,2.028557538986206
Fit_time,test,0.004998922348022461
Fit_time,test,0.004999876022338867
Fit_time,test,0.005999326705932617
Fit_time,test,0.0060002803802490234
Fit_time,test,0.005003929138183594
Fit_time,test,0.00599980354309082
Fit_time,test,0.004999876022338867
Fit_time,test,0.004000186920166016
Fit_time,test,0.005000114440917969
Fit_time,test,0.005002498626708984
