metric,dataset,value
RMSE,train,1.2869971182699245
RMSE,train,1.276576076132265
RMSE,train,1.2736470853190525
RMSE,train,1.2466922394036861
RMSE,train,1.2731628535043777
RMSE,train,1.2789593888178452
RMSE,train,1.2398762299886505
RMSE,train,1.2657628622860881
RMSE,train,1.3083055042858318
RMSE,train,1.2764729711050404
RMSE,test,1.7932554566704437
RMSE,test,1.9780571507185924
RMSE,test,1.8701770204242256
RMSE,test,2.005360151837376
RMSE,test,2.242400872121255
RMSE,test,2.1844119148158874
RMSE,test,2.187782156036427
RMSE,test,2.071312331967868
RMSE,test,2.2185466949263266
RMSE,test,1.9713853579685887
R2,train,0.8176493689119908
R2,train,0.8189086148062857
R2,train,0.8238001013157948
R2,train,0.8275908727103412
R2,train,0.8190387512733923
R2,train,0.8189671698523702
R2,train,0.8303250884059159
R2,train,0.8241614138853488
R2,train,0.8069613872416834
R2,train,0.8217200514375893
R2,test,0.6317472363074816
R2,test,0.5817194678251816
R2,test,0.5412731311655821
R2,test,0.5697782908862625
R2,test,0.4899946624846837
R2,test,0.46616262308614287
R2,test,0.4629695709422942
R2,test,0.49361822988415216
R2,test,0.5240782014375331
R2,test,0.5243784710690673
MAE,train,0.9763793556765925
MAE,train,0.9700735129650099
MAE,train,0.9651102020729279
MAE,train,0.9471628848703928
MAE,train,0.9548464723564393
MAE,train,0.9690745945996835
MAE,train,0.9404712503896182
MAE,train,0.9630567677753671
MAE,train,0.9915443627893558
MAE,train,0.9659944211256472
MAE,test,1.3852783326632232
MAE,test,1.5086786306995341
MAE,test,1.4273302184611232
MAE,test,1.556591573906273
MAE,test,1.712814191026757
MAE,test,1.6652591931209844
MAE,test,1.6795195452500846
MAE,test,1.5795432962831573
MAE,test,1.6454563431511817
MAE,test,1.5622579097128821
Fit_time,train,0.7376546859741211
Fit_time,train,0.740767240524292
Fit_time,train,0.7076401710510254
Fit_time,train,0.7081325054168701
Fit_time,train,0.7276809215545654
Fit_time,train,0.7311406135559082
Fit_time,train,0.7251877784729004
Fit_time,train,0.720130443572998
Fit_time,train,0.7041211128234863
Fit_time,train,0.7436513900756836
Fit_time,test,0.004999876022338867
Fit_time,test,0.004000186920166016
Fit_time,test,0.0050029754638671875
Fit_time,test,0.004000425338745117
Fit_time,test,0.005000114440917969
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004000186920166016
Fit_time,test,0.004519939422607422
Fit_time,test,0.004000186920166016
Fit_time,test,0.0040018558502197266
