metric,dataset,value
RMSE,train,1.040991261116935
RMSE,train,1.0693524632825928
RMSE,train,1.0676352669705522
RMSE,train,1.041552555792584
RMSE,train,1.0604915281107505
RMSE,train,1.0174523343387039
RMSE,train,1.0495995350433296
RMSE,train,1.0643421797009636
RMSE,train,1.0560415286161884
RMSE,train,1.0672797208954297
RMSE,test,1.6857624661211525
RMSE,test,1.612344589946765
RMSE,test,1.785330296230282
RMSE,test,1.901771907359616
RMSE,test,1.9319296579163492
RMSE,test,1.9359207778443506
RMSE,test,1.8757597375126132
RMSE,test,1.828931575616524
RMSE,test,1.7488755792104118
RMSE,test,1.6471353243602882
R2,train,0.8806983942361983
R2,train,0.8729290909964333
R2,train,0.8761907009523219
R2,train,0.8796616314581562
R2,train,0.8744455605338612
R2,train,0.8854297192916254
R2,train,0.878407098283659
R2,train,0.8756711170927549
R2,train,0.8742268769432944
R2,train,0.8753662194200363
R2,test,0.6745723480099146
R2,test,0.7220890166829383
R2,test,0.5819522449432362
R2,test,0.6130771170700542
R2,test,0.6214433906067047
R2,test,0.5807094575466576
R2,test,0.6052290725751881
R2,test,0.6051957704706725
R2,test,0.7042557728388052
R2,test,0.6679702382806848
MAE,train,0.7636311156449674
MAE,train,0.7894316403384104
MAE,train,0.790839713384799
MAE,train,0.7661552858723527
MAE,train,0.780839395435826
MAE,train,0.7468873106038597
MAE,train,0.7746431294366825
MAE,train,0.784545312381117
MAE,train,0.7740868211545103
MAE,train,0.7868514136003958
MAE,test,1.2547522694868865
MAE,test,1.2325090806634005
MAE,test,1.3292873858255856
MAE,test,1.3946760226092123
MAE,test,1.48004077957244
MAE,test,1.4396213730192189
MAE,test,1.3848438235025136
MAE,test,1.3865239349011678
MAE,test,1.3148347323886922
MAE,test,1.2821436288427943
