metric,dataset,value
RMSE,train,1.4046595553800179
RMSE,train,1.4320729812906727
RMSE,train,1.4022602722433029
RMSE,train,1.380920963370312
RMSE,train,1.3710006138277226
RMSE,train,1.4002343596890727
RMSE,train,1.3825350264174847
RMSE,train,1.3939013642063904
RMSE,train,1.4186731283000238
RMSE,train,1.4045675423483843
RMSE,test,1.8050833698365376
RMSE,test,1.7092499114790995
RMSE,test,1.6969237521315406
RMSE,test,2.0399519909227095
RMSE,test,2.045815267605424
RMSE,test,1.874527325527417
RMSE,test,2.0569842478051203
RMSE,test,1.9177903762592408
RMSE,test,1.8105877003917714
RMSE,test,1.7366763368113858
R2,train,0.7827827668395327
R2,train,0.7721050558821483
R2,train,0.7864179737062937
R2,train,0.7884663873011426
R2,train,0.790157735111502
R2,train,0.7830072154582893
R2,train,0.7890336207665463
R2,train,0.7867575955759194
R2,train,0.773018461108316
R2,train,0.784143808517064
R2,test,0.6268733894914812
R2,test,0.6876790524483876
R2,test,0.6223292044020452
R2,test,0.5548078962303311
R2,test,0.5754967254470761
R2,test,0.6068815238074716
R2,test,0.5252634444391835
R2,test,0.5659006347730771
R2,test,0.6830158252604619
R2,test,0.6308896483511321
MAE,train,1.0661009211276207
MAE,train,1.0883909954256519
MAE,train,1.0630092210141153
MAE,train,1.0493860688836545
MAE,train,1.030161920700626
MAE,train,1.063567890143253
MAE,train,1.0542307228929846
MAE,train,1.0619934261638462
MAE,train,1.0798148727365229
MAE,train,1.0653030146898228
MAE,test,1.374135334430127
MAE,test,1.3248348552019933
MAE,test,1.3023284226591822
MAE,test,1.5305378927865605
MAE,test,1.6035614786420564
MAE,test,1.3811536480894453
MAE,test,1.5718316028539174
MAE,test,1.4551163704861818
MAE,test,1.375059172222682
MAE,test,1.3117471166982373
