metric,dataset,value
RMSE,train,0.8632997200396253
RMSE,train,0.8691129768584134
RMSE,train,0.8620862055811511
RMSE,train,0.8627853929667412
RMSE,train,0.8653140312234423
RMSE,train,0.8518686540342341
RMSE,train,0.8619843987653597
RMSE,train,0.8864065867763729
RMSE,train,0.8842815891575238
RMSE,train,0.8601464393278507
RMSE,test,1.7343567346884585
RMSE,test,1.6085789567144577
RMSE,test,1.7008645411748378
RMSE,test,1.9272396207302462
RMSE,test,1.9575527356767684
RMSE,test,1.9195671827968122
RMSE,test,2.0224693934123845
RMSE,test,1.804734552256184
RMSE,test,1.9105277709171484
RMSE,test,1.6974537317175538
R2,train,0.9179506165623786
R2,train,0.916062340110301
R2,train,0.9192748549530226
R2,train,0.9174252420794512
R2,train,0.9164079148652148
R2,train,0.9196863972839542
R2,train,0.9179913289148565
R2,train,0.9137666151022807
R2,train,0.9118125028808672
R2,train,0.919048659372421
R2,test,0.655540192171794
R2,test,0.7233856238438392
R2,test,0.6205730275492689
R2,test,0.602644718120857
R2,test,0.6113352489753463
R2,test,0.5877634094667458
R2,test,0.5410613237027582
R2,test,0.6155732968299898
R2,test,0.6470565237030318
R2,test,0.6473739907572951
MAE,train,0.6242712906902584
MAE,train,0.6315011121226057
MAE,train,0.6182741688427118
MAE,train,0.6276713793835403
MAE,train,0.628270093214079
MAE,train,0.6239304371334091
MAE,train,0.6272416022326043
MAE,train,0.643550925292529
MAE,train,0.6384928533584912
MAE,train,0.622735041423312
MAE,test,1.2966878502417876
MAE,test,1.1853323577421637
MAE,test,1.3114698383401127
MAE,test,1.398299308752477
MAE,test,1.4584524158403576
MAE,test,1.4262509838121078
MAE,test,1.4756769391620208
MAE,test,1.366229929892012
MAE,test,1.418562438024843
MAE,test,1.3028989791453074
