metric,dataset,value
RMSE,train,1.6650842673137094
RMSE,train,1.669786371004968
RMSE,train,1.651920792502013
RMSE,train,1.650851244442125
RMSE,train,1.674912842396253
RMSE,train,1.6318375913493093
RMSE,train,1.659330810037758
RMSE,train,1.650811281689051
RMSE,train,1.6786522732093185
RMSE,train,1.7134605566626566
RMSE,test,1.8908943445389583
RMSE,test,2.0715778483661906
RMSE,test,2.0044709020879705
RMSE,test,2.2800163338999364
RMSE,test,2.3060597891363313
RMSE,test,2.187477729843253
RMSE,test,2.1967578396116005
RMSE,test,2.1109464242108555
RMSE,test,2.090339295037235
RMSE,test,2.0155209057064543
R2,train,0.6947718696431264
R2,train,0.690168041521763
R2,train,0.7035947570061669
R2,train,0.6976864421807205
R2,train,0.6868141791040276
R2,train,0.7052880819506859
R2,train,0.6961026467654021
R2,train,0.7009083139916126
R2,train,0.6822047975640682
R2,train,0.6787615832150703
R2,test,0.5905543903694989
R2,test,0.5412326540017367
R2,test,0.47302712854028517
R2,test,0.4438608407773267
R2,test,0.4606268294169845
R2,test,0.46466309348246904
R2,test,0.4585540463041826
R2,test,0.4740538225741866
R2,test,0.5774948387610999
R2,test,0.5028435642349944
MAE,train,1.2897479837361312
MAE,train,1.2839152402093599
MAE,train,1.26800060113696
MAE,train,1.2738070606991354
MAE,train,1.2919366397924539
MAE,train,1.257625905932081
MAE,train,1.2727409619206063
MAE,train,1.269480346471009
MAE,train,1.2970202227114431
MAE,train,1.3239976546956718
MAE,test,1.4512403700995604
MAE,test,1.5861198450613914
MAE,test,1.6162291245761204
MAE,test,1.7752462249798198
MAE,test,1.7906540013752474
MAE,test,1.7111955410259974
MAE,test,1.7002062244208795
MAE,test,1.6477314822129052
MAE,test,1.6036493564434562
MAE,test,1.5603204054603808
Fit_time,train,0.6231622695922852
Fit_time,train,0.6065042018890381
Fit_time,train,0.6180870532989502
Fit_time,train,0.6048440933227539
Fit_time,train,0.61478590965271
Fit_time,train,0.6118419170379639
Fit_time,train,0.5911500453948975
Fit_time,train,0.6061482429504395
Fit_time,train,0.612921953201294
Fit_time,train,0.5992624759674072
Fit_time,test,0.005004405975341797
Fit_time,test,0.004999876022338867
Fit_time,test,0.004002571105957031
Fit_time,test,0.00400233268737793
Fit_time,test,0.005011320114135742
Fit_time,test,0.0049991607666015625
Fit_time,test,0.005002737045288086
Fit_time,test,0.005003690719604492
Fit_time,test,0.0050029754638671875
Fit_time,test,0.005003929138183594
