metric,dataset,value
RMSE,train,1.0383228582536288
RMSE,train,1.0214606205466517
RMSE,train,1.0421735153136658
RMSE,train,1.023504418669987
RMSE,train,1.0092444710208963
RMSE,train,1.0066452333874847
RMSE,train,1.017158923318459
RMSE,train,1.0417556576557134
RMSE,train,1.0115792321535528
RMSE,train,1.0451597861229973
RMSE,test,1.7087492872765193
RMSE,test,1.82525465342054
RMSE,test,1.7068053349363168
RMSE,test,2.0366765271323843
RMSE,test,2.074315332505919
RMSE,test,1.993649587878934
RMSE,test,1.9444988853680452
RMSE,test,1.954912168156837
RMSE,test,1.9352296980965704
RMSE,test,1.7088204045516087
R2,train,0.8813092288265871
R2,train,0.8840561693231435
R2,train,0.8820256734835237
R2,train,0.8837959711949103
R2,train,0.8862869196081111
R2,train,0.8878506618408409
R2,train,0.8858072346378039
R2,train,0.8808919210847828
R2,train,0.8845947250300672
R2,train,0.8804788848870042
R2,test,0.6656368671999344
R2,test,0.643846751360946
R2,test,0.6179178673043106
R2,test,0.5562364003606881
R2,test,0.563586909623737
R2,test,0.5553302779014164
R2,test,0.5757653476510758
R2,test,0.5489326621995474
R2,test,0.6378708465247471
R2,test,0.6426355941537305
MAE,train,0.7902048164768666
MAE,train,0.7729205868112058
MAE,train,0.79126325046461
MAE,train,0.7730731527086884
MAE,train,0.7656947416786594
MAE,train,0.7683777464395901
MAE,train,0.7737726100497425
MAE,train,0.7922199260410109
MAE,train,0.7708991952946863
MAE,train,0.7951698018285306
MAE,test,1.2844598645825671
MAE,test,1.4332637906043628
MAE,test,1.3352306620251728
MAE,test,1.5314013458405011
MAE,test,1.5483493551315348
MAE,test,1.4814830512965993
MAE,test,1.4309918791508909
MAE,test,1.5035891870115392
MAE,test,1.4459321137327692
MAE,test,1.315530298601598
Fit_time,train,1.9650840759277344
Fit_time,train,1.9377551078796387
Fit_time,train,2.2771949768066406
Fit_time,train,2.0707950592041016
Fit_time,train,2.0959463119506836
Fit_time,train,2.2949345111846924
Fit_time,train,2.1378333568573
Fit_time,train,2.1317994594573975
Fit_time,train,2.182321786880493
Fit_time,train,2.0571749210357666
Fit_time,test,0.005003452301025391
Fit_time,test,0.00548243522644043
Fit_time,test,0.005002737045288086
Fit_time,test,0.0039997100830078125
Fit_time,test,0.005002498626708984
Fit_time,test,0.005003929138183594
Fit_time,test,0.005509614944458008
Fit_time,test,0.005003213882446289
Fit_time,test,0.005001544952392578
Fit_time,test,0.005996227264404297
