metric,dataset,value
RMSE,train,1.246932419096438
RMSE,train,1.2375879221245614
RMSE,train,1.2196613433848493
RMSE,train,1.201585829412787
RMSE,train,1.2138496161211625
RMSE,train,1.2132194114444477
RMSE,train,1.2321973086676243
RMSE,train,1.2339223072384038
RMSE,train,1.237265528648866
RMSE,train,1.2357177933465022
RMSE,test,1.706934813543445
RMSE,test,1.9313819054277555
RMSE,test,1.8984633404288143
RMSE,test,2.1556129784746063
RMSE,test,2.1408619540810525
RMSE,test,2.021360446299677
RMSE,test,2.0611107220890483
RMSE,test,2.034865803877493
RMSE,test,1.9786236773291748
RMSE,test,1.8116366628930456
R2,train,0.828825938897336
R2,train,0.8298011924519675
R2,train,0.8384206113003487
R2,train,0.8398410041009468
R2,train,0.8355069939576484
R2,train,0.837099456653858
R2,train,0.8324202743267423
R2,train,0.8328966656759874
R2,train,0.8273559253978768
R2,train,0.8329225438932758
R2,test,0.6663465921560107
R2,test,0.601226492698669
R2,test,0.5272917559432615
R2,test,0.5028938468108842
R2,test,0.535136398599484
R2,test,0.5428829388642377
R2,test,0.5233568152236752
R2,test,0.5112818953363298
R2,test,0.6214486033889172
R2,test,0.5983380857758733
MAE,train,0.9589014910857966
MAE,train,0.9447436694776393
MAE,train,0.9375121164823675
MAE,train,0.9198050022295079
MAE,train,0.9298942569071469
MAE,train,0.9363825428952839
MAE,train,0.9428533503426048
MAE,train,0.9464661465934233
MAE,train,0.9476287801979015
MAE,train,0.9458627292868396
MAE,test,1.3641819541207894
MAE,test,1.4659492576480302
MAE,test,1.4701416232539564
MAE,test,1.6273402581514023
MAE,test,1.638907251431048
MAE,test,1.5495297507437205
MAE,test,1.5714819697859645
MAE,test,1.556238102885072
MAE,test,1.4967156773440373
MAE,test,1.3960444585225813
Fit_time,train,1.0838778018951416
Fit_time,train,1.0821013450622559
Fit_time,train,1.1288468837738037
Fit_time,train,1.1129136085510254
Fit_time,train,1.0698223114013672
Fit_time,train,1.0577189922332764
Fit_time,train,1.053722620010376
Fit_time,train,1.0631999969482422
Fit_time,train,1.1007354259490967
Fit_time,train,1.0947225093841553
Fit_time,test,0.005000114440917969
Fit_time,test,0.004003763198852539
Fit_time,test,0.005000114440917969
Fit_time,test,0.005000114440917969
Fit_time,test,0.003999948501586914
Fit_time,test,0.004002571105957031
Fit_time,test,0.004999399185180664
Fit_time,test,0.004003047943115234
Fit_time,test,0.004002571105957031
Fit_time,test,0.00400543212890625
