metric,dataset,value
RMSE,train,1.0777074292372246
RMSE,train,1.0877880968673315
RMSE,train,1.103327489242875
RMSE,train,1.095059180880484
RMSE,train,1.0660242122783987
RMSE,train,1.0894152767761698
RMSE,train,1.112914619336894
RMSE,train,1.0866160101690043
RMSE,train,1.0587947796201442
RMSE,train,1.0823505480902698
RMSE,test,1.536835630085449
RMSE,test,1.7119932857468922
RMSE,test,1.6318260906169217
RMSE,test,1.7441765099439968
RMSE,test,1.7646078138225862
RMSE,test,1.6422037037877606
RMSE,test,1.397164655925174
RMSE,test,1.6787275294953126
RMSE,test,1.8689366171158637
RMSE,test,1.5829209878548234
R2,train,0.8271175177233452
R2,train,0.8238064741545192
R2,train,0.8163572372599083
R2,train,0.8170271833150472
R2,train,0.8255575361621634
R2,train,0.8215414291964964
R2,train,0.8144408048017675
R2,train,0.8222563451452578
R2,train,0.8244227220847401
R2,train,0.824089718057005
R2,test,0.5788869122514428
R2,test,0.4852555591473027
R2,test,0.5768134623670875
R2,test,0.5751408003627088
R2,test,0.5803350423182583
R2,test,0.5702090143900356
R2,test,0.6779881164916728
R2,test,0.5549285341522271
R2,test,0.5843240567382822
R2,test,0.5966385446693012
MAE,train,0.8225432863945745
MAE,train,0.8326920328536227
MAE,train,0.8398921206583094
MAE,train,0.8340910126467801
MAE,train,0.8103164873169663
MAE,train,0.8339740114527465
MAE,train,0.8418928448101937
MAE,train,0.8230851552327834
MAE,train,0.7989071162390737
MAE,train,0.8273624004135106
MAE,test,1.184287760132896
MAE,test,1.2705460617274973
MAE,test,1.268492521901941
MAE,test,1.344517788022426
MAE,test,1.2898677362014723
MAE,test,1.2613224534605958
MAE,test,1.0525422751250642
MAE,test,1.2719417905044166
MAE,test,1.3766145968015093
MAE,test,1.1881152434994924
