metric,dataset,value
RMSE,train,1.0402364493194296
RMSE,train,1.043041062334989
RMSE,train,1.0202577106616642
RMSE,train,1.0449699485328638
RMSE,train,1.0364483791026073
RMSE,train,1.0194557932715984
RMSE,train,1.0427172673679685
RMSE,train,1.0581896576959224
RMSE,train,1.0272152920657598
RMSE,train,1.0356940879923962
RMSE,test,1.3864204802889897
RMSE,test,1.6356692372023107
RMSE,test,1.4780127304057804
RMSE,test,1.5313312185549481
RMSE,test,1.8015502661695355
RMSE,test,1.6604332402996838
RMSE,test,1.3141349993707383
RMSE,test,1.5701403242724241
RMSE,test,1.9356589289701838
RMSE,test,1.4355333761363276
R2,train,0.8389304777612459
R2,train,0.8380040511397219
R2,train,0.842969247574617
R2,train,0.8333831212224994
R2,train,0.8351027443529969
R2,train,0.8437257998165564
R2,train,0.8371109402199607
R2,train,0.8314344072538893
R2,train,0.8347400256328619
R2,train,0.8389286360672012
R2,test,0.6572844358252312
R2,test,0.5301291289740475
R2,test,0.6528313922693263
R2,test,0.6725066898452985
R2,test,0.5625795539058398
R2,test,0.5606141308150864
R2,test,0.7151234627741259
R2,test,0.6106445469535546
R2,test,0.5541144323291101
R2,test,0.6682564337502066
MAE,train,0.7781905547825001
MAE,train,0.783563953469199
MAE,train,0.7586704698497795
MAE,train,0.7806366006369282
MAE,train,0.7755136234913533
MAE,train,0.7547592224257001
MAE,train,0.781079825071573
MAE,train,0.7863406507369292
MAE,train,0.7572618391449348
MAE,train,0.7702968900213925
MAE,test,1.0658352654688577
MAE,test,1.2151243608502158
MAE,test,1.139930143390896
MAE,test,1.1790434060804498
MAE,test,1.2955383463379058
MAE,test,1.2111677305666098
MAE,test,0.9473628615666776
MAE,test,1.1954017144500482
MAE,test,1.428279007016448
MAE,test,1.0773132468607833
Fit_time,train,1.4414074420928955
Fit_time,train,1.475752592086792
Fit_time,train,1.3708934783935547
Fit_time,train,1.4181673526763916
Fit_time,train,1.410085916519165
Fit_time,train,1.4007577896118164
Fit_time,train,1.3543312549591064
Fit_time,train,1.3166539669036865
Fit_time,train,1.3466625213623047
Fit_time,train,1.4016082286834717
Fit_time,test,0.0050029754638671875
Fit_time,test,0.0045130252838134766
Fit_time,test,0.005005836486816406
Fit_time,test,0.005003213882446289
Fit_time,test,0.005000114440917969
Fit_time,test,0.00500035285949707
Fit_time,test,0.004999637603759766
Fit_time,test,0.00500035285949707
Fit_time,test,0.0050029754638671875
Fit_time,test,0.005000114440917969
