metric,dataset,value
RMSE,train,1.9854253557247896
RMSE,train,1.8546440781457105
RMSE,train,2.032829140339211
RMSE,train,1.8480506137381927
RMSE,train,1.9453859736650188
RMSE,train,2.1419477622165424
RMSE,train,2.3898720147568
RMSE,train,2.191933525963977
RMSE,train,2.1727631214444845
RMSE,train,2.259644606505895
RMSE,test,1.6778446467690047
RMSE,test,1.9544157112158391
RMSE,test,1.7353973125036448
RMSE,test,1.8351074290206426
RMSE,test,2.0202774646668518
RMSE,test,2.096188392166043
RMSE,test,2.1774845270774303
RMSE,test,2.1442440653635777
RMSE,test,2.5502154203190286
RMSE,test,2.193145768726858
R2,train,0.4132455587387085
R2,train,0.4878201484680176
R2,train,0.37660014629364014
R2,train,0.47887831926345825
R2,train,0.4190622568130493
R2,train,0.31012845039367676
R2,train,0.14432644844055176
R2,train,0.276736319065094
R2,train,0.2606170177459717
R2,train,0.23328202962875366
R2,test,0.49806511402130127
R2,test,0.32915616035461426
R2,test,0.5213898420333862
R2,test,0.5296868085861206
R2,test,0.4499168395996094
R2,test,0.29973268508911133
R2,test,0.21785575151443481
R2,test,0.2738643288612366
R2,test,0.22603833675384521
R2,test,0.22569704055786133
MAE,train,1.5575850009918213
MAE,train,1.4400243759155273
MAE,train,1.6058701276779175
MAE,train,1.4475492238998413
MAE,train,1.5292259454727173
MAE,train,1.7126715183258057
MAE,train,1.940483570098877
MAE,train,1.745606780052185
MAE,train,1.7598916292190552
MAE,train,1.8008335828781128
MAE,test,1.3493598699569702
MAE,test,1.4850096702575684
MAE,test,1.3835735321044922
MAE,test,1.436037540435791
MAE,test,1.5574308633804321
MAE,test,1.688946008682251
MAE,test,1.7722872495651245
MAE,test,1.6831730604171753
MAE,test,2.0335793495178223
MAE,test,1.7295554876327515
