metric,dataset,value
RMSE,train,1.435707210076666
RMSE,train,1.4061513647552324
RMSE,train,1.4164261681162036
RMSE,train,1.4185905597646185
RMSE,train,1.4127171325700192
RMSE,train,1.4174569866206612
RMSE,train,1.4319884143776107
RMSE,train,1.4101622026296747
RMSE,train,1.4097268830850536
RMSE,train,1.4466717615729694
RMSE,test,1.9122218863447664
RMSE,test,1.8021619988312056
RMSE,test,1.9156534286849074
RMSE,test,1.7605023535970765
RMSE,test,2.0493019405717465
RMSE,test,2.058116164674021
RMSE,test,1.6498489977632624
RMSE,test,1.8099008834423789
RMSE,test,2.0936210254006706
RMSE,test,1.7458519402588535
R2,train,0.6931818838929602
R2,train,0.7055812345140108
R2,train,0.6973415360600044
R2,train,0.6929383895818395
R2,train,0.6936425129029132
R2,train,0.6978864067534771
R2,train,0.692788269929436
R2,train,0.7006494595456487
R2,train,0.6887461785090208
R2,train,0.6857354815259868
R2,test,0.3480407268553859
R2,test,0.4296056614248154
R2,test,0.4167993748769133
R2,test,0.5671500415464317
R2,test,0.4339976772070334
R2,test,0.3249390050562373
R2,test,0.5509805927583498
R2,test,0.4826566023175096
R2,test,0.47837080890051464
R2,test,0.509328605142189
MAE,train,1.0631910440996841
MAE,train,1.0347681257963142
MAE,train,1.0400653157592992
MAE,train,1.0463608255745052
MAE,train,1.0379563147295243
MAE,train,1.0423416739409739
MAE,train,1.0546893498198786
MAE,train,1.0448966926954648
MAE,train,1.0499131832660058
MAE,train,1.0752729048299923
MAE,test,1.4755738192867418
MAE,test,1.3201945384574925
MAE,test,1.4650627346922493
MAE,test,1.3631486720129309
MAE,test,1.594313800500073
MAE,test,1.5790108003192596
MAE,test,1.2239339640429796
MAE,test,1.3795017960244165
MAE,test,1.5348392079820827
MAE,test,1.3505926658993197
Fit_time,train,0.44322824478149414
Fit_time,train,0.4387791156768799
Fit_time,train,0.46956706047058105
Fit_time,train,0.43968653678894043
Fit_time,train,0.43256568908691406
Fit_time,train,0.4400753974914551
Fit_time,train,0.4490025043487549
Fit_time,train,0.4531078338623047
Fit_time,train,0.4238917827606201
Fit_time,train,0.4537491798400879
Fit_time,test,0.004000186920166016
Fit_time,test,0.004002809524536133
Fit_time,test,0.004000186920166016
Fit_time,test,0.0029997825622558594
Fit_time,test,0.004000186920166016
Fit_time,test,0.00400233268737793
Fit_time,test,0.0039997100830078125
Fit_time,test,0.003999471664428711
Fit_time,test,0.004002094268798828
Fit_time,test,0.004003286361694336
