metric,dataset,value
RMSE,train,1.2915879290545114
RMSE,train,1.3010606553046355
RMSE,train,1.2854701818562748
RMSE,train,1.281257437373057
RMSE,train,1.2700504100353145
RMSE,train,1.2689461854590194
RMSE,train,1.3021122246491592
RMSE,train,1.2805941288528002
RMSE,train,1.3016433306588062
RMSE,train,1.290966634881015
RMSE,test,1.7872820666441214
RMSE,test,1.890762552256329
RMSE,test,1.8064425974419083
RMSE,test,1.9622775765163085
RMSE,test,1.9508807135769877
RMSE,test,1.9200722162624906
RMSE,test,1.6773617652683135
RMSE,test,1.9095235528212298
RMSE,test,2.182670957104337
RMSE,test,2.0627997541020666
R2,train,0.7516882954047985
R2,train,0.7479443542725474
R2,train,0.7507191284123637
R2,train,0.7495135768916844
R2,train,0.7523946680750758
R2,train,0.7578765254235339
R2,train,0.7459871905554228
R2,train,0.753131931225496
R2,train,0.734644114928187
R2,train,0.7497434933302172
R2,test,0.4304523121190047
R2,test,0.372141851052359
R2,test,0.48140009872319467
R2,test,0.4622442753989531
R2,test,0.4870586133816892
R2,test,0.41245873424746604
R2,test,0.535880093438838
R2,test,0.4241367473114943
R2,test,0.4330532313566916
R2,test,0.31500080303028155
MAE,train,0.9729201196459216
MAE,train,0.9817205247057081
MAE,train,0.9690625328535193
MAE,train,0.9720738777176067
MAE,train,0.9553569504675995
MAE,train,0.9464651783512563
MAE,train,0.9810946976029775
MAE,train,0.9572585455762858
MAE,train,0.985473902448164
MAE,train,0.9730148024326838
MAE,test,1.435210926177536
MAE,test,1.444200860251659
MAE,test,1.418891477573212
MAE,test,1.479320558045096
MAE,test,1.5209075817144855
MAE,test,1.4993479502223859
MAE,test,1.307531590659892
MAE,test,1.529003526867664
MAE,test,1.6609811209460177
MAE,test,1.4897836865785634
Fit_time,train,0.8235323429107666
Fit_time,train,0.8710596561431885
Fit_time,train,0.8343994617462158
Fit_time,train,0.8276691436767578
Fit_time,train,0.8427104949951172
Fit_time,train,0.850027322769165
Fit_time,train,0.8183982372283936
Fit_time,train,0.8578333854675293
Fit_time,train,0.8485054969787598
Fit_time,train,0.9055097103118896
Fit_time,test,0.004999399185180664
Fit_time,test,0.0050029754638671875
Fit_time,test,0.004000663757324219
Fit_time,test,0.005000591278076172
Fit_time,test,0.003999471664428711
Fit_time,test,0.005083322525024414
Fit_time,test,0.004566192626953125
Fit_time,test,0.003998279571533203
Fit_time,test,0.004999637603759766
Fit_time,test,0.0039997100830078125
