metric,dataset,value
RMSE,train,1.2706829873300907
RMSE,train,1.23675875674388
RMSE,train,1.2539323012944839
RMSE,train,1.2680612722189335
RMSE,train,1.2372683497417776
RMSE,train,1.251212036054426
RMSE,train,1.2911430682168232
RMSE,train,1.2650557087861292
RMSE,train,1.2232639117832311
RMSE,train,1.2714358792123435
RMSE,test,1.5878642218722612
RMSE,test,1.7600931516839058
RMSE,test,1.610687653301233
RMSE,test,1.685905355564718
RMSE,test,1.9651838353015725
RMSE,test,1.736959009369266
RMSE,test,1.4090573334470267
RMSE,test,1.6498831491952017
RMSE,test,2.023451886388525
RMSE,test,1.6624940948803193
R2,train,0.7596613225825771
R2,train,0.7722432117061189
R2,train,0.7628008544725196
R2,train,0.7546467187672751
R2,train,0.765011893698272
R2,train,0.7645968253976593
R2,train,0.7502488357404472
R2,train,0.759086460430671
R2,train,0.7656391545711652
R2,train,0.7572583679765387
R2,test,0.550457637023657
R2,test,0.4559248917501718
R2,test,0.5877062441219275
R2,test,0.6030548127793638
R2,test,0.47950965576197124
R2,test,0.5191801517381267
R2,test,0.6724828495266191
R2,test,0.5700918276787067
R2,test,0.5127503797237007
R2,test,0.5550654373374453
MAE,train,0.9805975444162766
MAE,train,0.9536145355416493
MAE,train,0.9653291439956516
MAE,train,0.9783703965479743
MAE,train,0.9615068100640208
MAE,train,0.9667030780308545
MAE,train,0.9984006301703265
MAE,train,0.9838825452913877
MAE,train,0.9422359344561858
MAE,train,0.9833702958735324
MAE,test,1.2256266754678107
MAE,test,1.3287973483381188
MAE,test,1.2928989944003646
MAE,test,1.284800004886762
MAE,test,1.4854511606585352
MAE,test,1.3385162351207034
MAE,test,1.0969583392677607
MAE,test,1.2916029360504155
MAE,test,1.507682272941832
MAE,test,1.2501962177238188
