metric,dataset,value
RMSE,train,0.7536882866161685
RMSE,train,0.7355430323358078
RMSE,train,0.7623584897414066
RMSE,train,0.7503640960023117
RMSE,train,0.7253939347610192
RMSE,train,0.7705745692276754
RMSE,train,0.7768060943047218
RMSE,train,0.7451191473418893
RMSE,train,0.7593846873854624
RMSE,train,0.7790541880470612
RMSE,test,1.3409301535005758
RMSE,test,1.6782978785740255
RMSE,test,1.3908582770318567
RMSE,test,1.4967804371185902
RMSE,test,1.7181016566139842
RMSE,test,1.5895094461463346
RMSE,test,1.214150233885173
RMSE,test,1.5326201089709874
RMSE,test,1.8108661785678444
RMSE,test,1.476789103886465
R2,train,0.9154462814331055
R2,train,0.9194403886795044
R2,train,0.9123234748840332
R2,train,0.9140876531600952
R2,train,0.9192270636558533
R2,train,0.9107147455215454
R2,train,0.9095967411994934
R2,train,0.9164217114448547
R2,train,0.9096832275390625
R2,train,0.9088638424873352
R2,test,0.6794053912162781
R2,test,0.5053185224533081
R2,test,0.6925674676895142
R2,test,0.6871181726455688
R2,test,0.6021640300750732
R2,test,0.5973483920097351
R2,test,0.7568235397338867
R2,test,0.6290303468704224
R2,test,0.6097540259361267
R2,test,0.6489145159721375
MAE,train,0.5662961602210999
MAE,train,0.5569515228271484
MAE,train,0.5630882978439331
MAE,train,0.5660191178321838
MAE,train,0.5465181469917297
MAE,train,0.5783318281173706
MAE,train,0.5754325985908508
MAE,train,0.5542702674865723
MAE,train,0.5676583051681519
MAE,train,0.5797391533851624
MAE,test,1.0442363023757935
MAE,test,1.1834355592727661
MAE,test,1.055673360824585
MAE,test,1.1154658794403076
MAE,test,1.2485430240631104
MAE,test,1.1679743528366089
MAE,test,0.9193844199180603
MAE,test,1.2126529216766357
MAE,test,1.3028430938720703
MAE,test,1.0847800970077515
Fit_time,train,11.815658807754517
Fit_time,train,13.070032358169556
Fit_time,train,15.976243019104004
Fit_time,train,16.05949354171753
Fit_time,train,14.873460531234741
Fit_time,train,14.24947738647461
Fit_time,train,14.963273286819458
Fit_time,train,16.41863465309143
Fit_time,train,15.86903977394104
Fit_time,train,15.13876485824585
Fit_time,test,0.007508516311645508
Fit_time,test,0.00800323486328125
Fit_time,test,0.011076927185058594
Fit_time,test,0.010000467300415039
Fit_time,test,0.009999513626098633
Fit_time,test,0.009998559951782227
Fit_time,test,0.010000228881835938
Fit_time,test,0.010000467300415039
Fit_time,test,0.010999679565429688
Fit_time,test,0.009002923965454102
