metric,dataset,value
RMSE,train,1.8850427606798004
RMSE,train,1.8692953914555444
RMSE,train,1.863556079218289
RMSE,train,1.8366049291582232
RMSE,train,1.8580902114847457
RMSE,train,1.8862274354165598
RMSE,train,1.9144855002307468
RMSE,train,1.8589438328053984
RMSE,train,1.8140331674936012
RMSE,train,1.8669515276918758
RMSE,test,1.8365931329040466
RMSE,test,2.151210386790316
RMSE,test,1.9997409983626198
RMSE,test,2.1785082156602873
RMSE,test,2.2367127095163646
RMSE,test,2.2254521072522557
RMSE,test,1.8822225853218286
RMSE,test,2.0766716595351045
RMSE,test,2.5644829315974893
RMSE,test,2.0011901220389596
R2,train,0.47107797894456516
R2,train,0.4796959427371741
R2,train,0.47609822123482104
R2,train,0.4853133738002132
R2,train,0.4700295373211899
R2,train,0.46501869802622164
R2,train,0.45088545381636347
R2,train,0.4797950951011456
R2,train,0.4846109637848226
R2,train,0.4766148134350102
R2,test,0.39859115648761123
R2,test,0.18725684011214627
R2,test,0.36447652181362233
R2,test,0.3371999014094571
R2,test,0.3257410469280614
R2,test,0.2107042709117699
R2,test,0.41558860096377714
R2,test,0.31890922324324744
R2,test,0.2173539986798646
R2,test,0.35530749468283374
MAE,train,1.4850122312761764
MAE,train,1.4683517757107791
MAE,train,1.4579907230069313
MAE,train,1.4494501000503477
MAE,train,1.4691378204277938
MAE,train,1.4829541399275243
MAE,train,1.5066761635796437
MAE,train,1.4670800646160658
MAE,train,1.4353870904978898
MAE,train,1.4709585250929773
MAE,test,1.4461344347254417
MAE,test,1.6862343319291495
MAE,test,1.620935751622885
MAE,test,1.739360240019423
MAE,test,1.7599172776238776
MAE,test,1.8000336806512809
MAE,test,1.532015482805161
MAE,test,1.578257141782144
MAE,test,2.0649241579208186
MAE,test,1.5484151073422754
Fit_time,train,0.3114333152770996
Fit_time,train,0.3003256320953369
Fit_time,train,0.32467222213745117
Fit_time,train,0.3537745475769043
Fit_time,train,0.3589353561401367
Fit_time,train,0.3766767978668213
Fit_time,train,0.40013647079467773
Fit_time,train,0.36757326126098633
Fit_time,train,0.3119239807128906
Fit_time,train,0.3593871593475342
Fit_time,test,0.0030002593994140625
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004204988479614258
Fit_time,test,0.003999948501586914
Fit_time,test,0.0030002593994140625
Fit_time,test,0.0040051937103271484
Fit_time,test,0.004003286361694336
Fit_time,test,0.004001140594482422
Fit_time,test,0.0045070648193359375
Fit_time,test,0.0039997100830078125
