metric,dataset,value
RMSE,train,2.329086617155928
RMSE,train,2.2849736589044536
RMSE,train,2.235200102721576
RMSE,train,2.1877412935418716
RMSE,train,2.202523007224005
RMSE,train,2.3121470620199465
RMSE,train,2.31531384394284
RMSE,train,2.429737250011914
RMSE,train,2.3006481915843695
RMSE,train,2.3351574874471357
RMSE,test,2.262181051966761
RMSE,test,2.366491838722817
RMSE,test,2.488169621189893
RMSE,test,2.456190781207055
RMSE,test,2.513068754434339
RMSE,test,2.3918220664477503
RMSE,test,2.302014368557602
RMSE,test,2.3777364726752186
RMSE,test,2.8865996505264517
RMSE,test,2.4039112962552656
R2,train,0.19254088401794434
R2,train,0.22256571054458618
R2,train,0.24630141258239746
R2,train,0.26969659328460693
R2,train,0.2553384304046631
R2,train,0.19613826274871826
R2,train,0.19688349962234497
R2,train,0.11128902435302734
R2,train,0.17101794481277466
R2,train,0.18118137121200562
R2,test,0.08757191896438599
R2,test,0.01644742488861084
R2,test,0.016115665435791016
R2,test,0.1574641466140747
R2,test,0.14883244037628174
R2,test,0.08828103542327881
R2,test,0.12583637237548828
R2,test,0.10711246728897095
R2,test,0.008394718170166016
R2,test,0.06972193717956543
MAE,train,1.8845864534378052
MAE,train,1.8414140939712524
MAE,train,1.7792912721633911
MAE,train,1.7445380687713623
MAE,train,1.7731754779815674
MAE,train,1.8708860874176025
MAE,train,1.874541163444519
MAE,train,1.9588127136230469
MAE,train,1.8450285196304321
MAE,train,1.875246286392212
MAE,test,1.8960932493209839
MAE,test,1.9458982944488525
MAE,test,2.053831100463867
MAE,test,2.0696446895599365
MAE,test,2.054237127304077
MAE,test,1.9404479265213013
MAE,test,1.8087626695632935
MAE,test,1.9210598468780518
MAE,test,2.414498805999756
MAE,test,1.9424601793289185
Fit_time,train,35.60686492919922
Fit_time,train,34.39705157279968
Fit_time,train,34.43295454978943
Fit_time,train,34.62549567222595
Fit_time,train,34.67487025260925
Fit_time,train,35.54183506965637
Fit_time,train,35.96903085708618
Fit_time,train,35.11187171936035
Fit_time,train,34.949816942214966
Fit_time,train,35.55059027671814
Fit_time,test,0.01700448989868164
Fit_time,test,0.017000913619995117
Fit_time,test,0.015006542205810547
Fit_time,test,0.015512943267822266
Fit_time,test,0.019177913665771484
Fit_time,test,0.01699995994567871
Fit_time,test,0.020001888275146484
Fit_time,test,0.018023014068603516
Fit_time,test,0.01600050926208496
Fit_time,test,0.016003131866455078
