metric,dataset,value
RMSE,train,2.364589461488107
RMSE,train,2.2957641614219404
RMSE,train,2.323906782995709
RMSE,train,2.3510128151866017
RMSE,train,2.387064058138673
RMSE,train,2.3472004224177465
RMSE,train,2.518682481793169
RMSE,train,2.475426061158995
RMSE,train,2.421899610825055
RMSE,train,2.4335741559704775
RMSE,test,2.2658208302018092
RMSE,test,2.334616399128367
RMSE,test,2.525173098230177
RMSE,test,2.5333273569672343
RMSE,test,2.6675610433241896
RMSE,test,2.4907591741741935
RMSE,test,2.4448960409705696
RMSE,test,2.4617426448280972
RMSE,test,2.974696097359034
RMSE,test,2.443330686844472
R2,train,0.16773664951324463
R2,train,0.21520566940307617
R2,train,0.18529140949249268
R2,train,0.15662366151809692
R2,train,0.1253260374069214
R2,train,0.17157959938049316
R2,train,0.049601852893829346
R2,train,0.07755213975906372
R2,train,0.08133536577224731
R2,train,0.11070770025253296
R2,test,0.084633469581604
R2,test,0.04276496171951294
R2,test,-0.013366103172302246
R2,test,0.10371357202529907
R2,test,0.04096364974975586
R2,test,0.011295080184936523
R2,test,0.013953328132629395
R2,test,0.04290592670440674
R2,test,-0.05305469036102295
R2,test,0.038962364196777344
MAE,train,1.911277413368225
MAE,train,1.8411304950714111
MAE,train,1.8731658458709717
MAE,train,1.880007028579712
MAE,train,1.9280425310134888
MAE,train,1.8971586227416992
MAE,train,2.0636820793151855
MAE,train,2.0174174308776855
MAE,train,1.9622504711151123
MAE,train,1.9704259634017944
MAE,test,1.8915222883224487
MAE,test,1.9193367958068848
MAE,test,2.1190640926361084
MAE,test,2.075763702392578
MAE,test,2.169822931289673
MAE,test,2.0298712253570557
MAE,test,1.9299625158309937
MAE,test,1.9925705194473267
MAE,test,2.4776270389556885
MAE,test,1.9791488647460938
Fit_time,train,29.06622815132141
Fit_time,train,27.535147190093994
Fit_time,train,24.52054786682129
Fit_time,train,24.16472339630127
Fit_time,train,29.778482913970947
Fit_time,train,27.33237886428833
Fit_time,train,31.676689863204956
Fit_time,train,28.157403469085693
Fit_time,train,24.955778121948242
Fit_time,train,25.268070936203003
Fit_time,test,0.019004106521606445
Fit_time,test,0.01900196075439453
Fit_time,test,0.012359857559204102
Fit_time,test,0.01600027084350586
Fit_time,test,0.0320124626159668
Fit_time,test,0.014005899429321289
Fit_time,test,0.02351236343383789
Fit_time,test,0.01753091812133789
Fit_time,test,0.015002727508544922
Fit_time,test,0.013404369354248047
