metric,dataset,value
RMSE,train,1.4144533397945902
RMSE,train,1.4071876845925255
RMSE,train,1.41574004988624
RMSE,train,1.4064038448733307
RMSE,train,1.3698397359697108
RMSE,train,1.3819138120361716
RMSE,train,1.4336572672397059
RMSE,train,1.4006404441016747
RMSE,train,1.360732067102353
RMSE,train,1.4124578545150133
RMSE,test,1.5001570539622566
RMSE,test,1.8309936674206313
RMSE,test,1.6982652901651845
RMSE,test,1.6995224949396102
RMSE,test,1.9383098417036453
RMSE,test,1.9010144826028994
RMSE,test,1.477719175527554
RMSE,test,1.7612763900601769
RMSE,test,2.204564471138422
RMSE,test,1.7952992983655747
R2,train,0.7021987700474076
R2,train,0.7051471070835206
R2,train,0.6976346811585699
R2,train,0.6981914891828691
R2,train,0.711956821666534
R2,train,0.7128476309597847
R2,train,0.6920717977604958
R2,train,0.7046783867843474
R2,train,0.7100053619497759
R2,train,0.7004244688927281
R2,test,0.5987478665128609
R2,test,0.41120890178658187
R2,test,0.5416521852590194
R2,test,0.5966166255038945
R2,test,0.49364778673109766
R2,test,0.4240641684260572
R2,test,0.639786043499326
R2,test,0.5100809196479419
R2,test,0.4216225489325469
R2,test,0.48114065538576467
MAE,train,1.1010307656096436
MAE,train,1.0990576962670067
MAE,train,1.0954614591550977
MAE,train,1.0938386293257987
MAE,train,1.0649106347489121
MAE,train,1.076440115562832
MAE,train,1.1160217570050086
MAE,train,1.090750863463118
MAE,train,1.0622433017460302
MAE,train,1.103009270404469
MAE,test,1.2105885270505197
MAE,test,1.4298801161710246
MAE,test,1.3791659690057736
MAE,test,1.3702742237827492
MAE,test,1.5002852258852495
MAE,test,1.4675813019817276
MAE,test,1.1735975853442782
MAE,test,1.353462710391463
MAE,test,1.6381837091022442
MAE,test,1.3612294272481023
Fit_time,train,4.472487688064575
Fit_time,train,4.366403102874756
Fit_time,train,4.0837318897247314
Fit_time,train,4.0556559562683105
Fit_time,train,4.171155691146851
Fit_time,train,4.283562898635864
Fit_time,train,4.293742895126343
Fit_time,train,4.224692106246948
Fit_time,train,4.41437292098999
Fit_time,train,4.225154161453247
Fit_time,test,0.010002374649047852
Fit_time,test,0.008999824523925781
Fit_time,test,0.007999897003173828
Fit_time,test,0.009000062942504883
Fit_time,test,0.00899958610534668
Fit_time,test,0.008999824523925781
Fit_time,test,0.009239435195922852
Fit_time,test,0.008651018142700195
Fit_time,test,0.010503530502319336
Fit_time,test,0.008000850677490234
