metric,dataset,value
RMSE,train,0.5579796607110925
RMSE,train,0.5194247740487988
RMSE,train,0.5462038493756312
RMSE,train,0.5373601576445011
RMSE,train,0.5475987259862201
RMSE,train,0.5081953551657291
RMSE,train,0.5592365597187109
RMSE,train,0.5420227969690583
RMSE,train,0.5419419498996717
RMSE,train,0.545305194333064
RMSE,test,1.6296880204115816
RMSE,test,1.759095862210554
RMSE,test,1.5319210100456748
RMSE,test,1.5787546025066297
RMSE,test,1.8291292263856795
RMSE,test,1.7436055289673704
RMSE,test,1.375859207032476
RMSE,test,1.6113153797607191
RMSE,test,2.003207446508184
RMSE,test,1.6863091255720017
R2,train,0.9536568048459579
R2,train,0.9598258533092159
R2,train,0.9549935815924988
R2,train,0.9559402206576572
R2,train,0.9539697925096907
R2,train,0.9611660228117291
R2,train,0.9531456522808598
R2,train,0.9557740660751789
R2,train,0.9540008011220509
R2,train,0.9553486482434386
R2,test,0.5264641715858722
R2,test,0.4565412757816357
R2,test,0.6270446484272711
R2,test,0.6519084991819218
R2,test,0.5490845780661714
R2,test,0.5154933716898591
R2,test,0.6877339954553527
R2,test,0.5899560280308827
R2,test,0.5224513773607533
R2,test,0.5422268661172587
MAE,train,0.3674391860851382
MAE,train,0.34152689987272034
MAE,train,0.345122972055417
MAE,train,0.3462813220690995
MAE,train,0.35292804119559135
MAE,train,0.33515066550445954
MAE,train,0.35518401734320554
MAE,train,0.350167718742822
MAE,train,0.33867443439509715
MAE,train,0.3421044968648264
MAE,test,1.190563125180145
MAE,test,1.309301143179874
MAE,test,1.1939363294585066
MAE,test,1.1607329297227977
MAE,test,1.3206319954792873
MAE,test,1.2686754247886094
MAE,test,1.0663009536065429
MAE,test,1.1940498823117403
MAE,test,1.4951946697095353
MAE,test,1.2551308022257106
