metric,dataset,value
RMSE,train,1.1520328852016926
RMSE,train,1.157661226211875
RMSE,train,1.1429752870357623
RMSE,train,1.1537732274792463
RMSE,train,1.159731780302917
RMSE,train,1.1654548676591665
RMSE,train,1.198850747412555
RMSE,train,1.1668043441257971
RMSE,train,1.16926146388893
RMSE,train,1.1565730265792808
RMSE,test,1.67841030575807
RMSE,test,1.860933637585179
RMSE,test,1.980416097634419
RMSE,test,1.9354974738383273
RMSE,test,2.075583067893553
RMSE,test,1.9532278076966012
RMSE,test,1.6348246330224754
RMSE,test,1.876481403252106
RMSE,test,2.109675472626869
RMSE,test,1.8854604912120216
R2,train,0.8024491107637867
R2,train,0.8004442173223998
R2,train,0.8029217845714295
R2,train,0.7968801781886082
R2,train,0.7935412986842967
R2,train,0.7957597146021719
R2,train,0.7846776940150867
R2,train,0.79505469127705
R2,train,0.785874691300388
R2,train,0.7991362987912899
R2,test,0.49772660714298056
R2,test,0.391795928580153
R2,test,0.37670019088549
R2,test,0.4768221150643426
R2,test,0.4193872758280438
R2,test,0.3919923480152261
R2,test,0.5591213547928806
R2,test,0.44389364713843726
R2,test,0.4703401509618491
R2,test,0.4277170682878192
MAE,train,0.8674349118629828
MAE,train,0.8767112735174029
MAE,train,0.860086903007165
MAE,train,0.8766126175781033
MAE,train,0.8708759890433297
MAE,train,0.8779018217723238
MAE,train,0.8966150865347393
MAE,train,0.8820955003961336
MAE,train,0.876221095177077
MAE,train,0.865174237645376
MAE,test,1.2742340099214227
MAE,test,1.3913495575261097
MAE,test,1.5549837860206752
MAE,test,1.4735502277226304
MAE,test,1.6230602880873282
MAE,test,1.5022051307243987
MAE,test,1.2542683914199688
MAE,test,1.4537273066410001
MAE,test,1.6063558051224331
MAE,test,1.4289408516386215
