metric,dataset,value
RMSE,train,1.0443650578837973
RMSE,train,1.0703572443712663
RMSE,train,1.036644994732544
RMSE,train,1.0262736000635246
RMSE,train,1.0272925456914044
RMSE,train,1.054984849622732
RMSE,train,1.056372159447525
RMSE,train,1.0483035267140843
RMSE,train,1.0188851054775006
RMSE,train,1.0559492607315772
RMSE,test,1.491300992880139
RMSE,test,1.718771837011983
RMSE,test,1.6353569299765227
RMSE,test,1.578161599411794
RMSE,test,2.0354774481871427
RMSE,test,1.645182806308557
RMSE,test,1.346671506649277
RMSE,test,1.5841448373775144
RMSE,test,2.0337210462413364
RMSE,test,1.6833636398233138
R2,train,0.8376493985233484
R2,train,0.8294079266712308
R2,train,0.837884309458466
R2,train,0.8392919221043542
R2,train,0.8380032327541882
R2,train,0.8326433652974944
R2,train,0.832816782430162
R2,train,0.8345693407000463
R2,train,0.8374095039518904
R2,train,0.8325668519575431
R2,test,0.6034714045563416
R2,test,0.48117127995242415
R2,test,0.5749801539985142
R2,test,0.6521699464896884
R2,test,0.44160836857390895
R2,test,0.5686482423893082
R2,test,0.7008423863912878
R2,test,0.6036680357785428
R2,test,0.5077921781525855
R2,test,0.5438246593377377
MAE,train,0.753139933161716
MAE,train,0.7779836213008333
MAE,train,0.7394545340871013
MAE,train,0.7422420120245177
MAE,train,0.7452106180029447
MAE,train,0.7633996584485716
MAE,train,0.7673609908604349
MAE,train,0.7571634977334646
MAE,train,0.7321759550424818
MAE,train,0.767506594568449
MAE,test,1.18395000452658
MAE,test,1.2936832755628553
MAE,test,1.3035566278448758
MAE,test,1.183307282692327
MAE,test,1.447198232212698
MAE,test,1.2371980893897727
MAE,test,1.0625396700924883
MAE,test,1.2605418098682235
MAE,test,1.5212602859589017
MAE,test,1.2609016505184445
