metric,dataset,value
RMSE,train,1.2596300129829188
RMSE,train,1.2255200928478092
RMSE,train,1.2420531375307373
RMSE,train,1.2308100256301509
RMSE,train,1.2257829695434932
RMSE,train,1.2469958576877835
RMSE,train,1.274379226097566
RMSE,train,1.2563356903693972
RMSE,train,1.1801534432450724
RMSE,train,1.2017410591270425
RMSE,test,1.5255219981635046
RMSE,test,1.7741621909382046
RMSE,test,1.618723392824579
RMSE,test,1.5850328354037784
RMSE,test,1.734272069537001
RMSE,test,1.6689567750689522
RMSE,test,1.4083929066963499
RMSE,test,1.5480572566695359
RMSE,test,2.035919803499756
RMSE,test,1.672744525671029
R2,train,0.7638242864850997
R2,train,0.7763637434093618
R2,train,0.767273792254199
R2,train,0.768850242192623
R2,train,0.7693543645434664
R2,train,0.7661806170161273
R2,train,0.7566921325945778
R2,train,0.7623962438506384
R2,train,0.7818668431510089
R2,train,0.7831411545591968
R2,test,0.5850642571524621
R2,test,0.44719216411059537
R2,test,0.5835821053008566
R2,test,0.6491344837055091
R2,test,0.5946401127052042
R2,test,0.5560915362378012
R2,test,0.6727916515103917
R2,test,0.621519624419022
R2,test,0.5067273019663996
R2,test,0.5495618615769814
MAE,train,0.9513401202823413
MAE,train,0.9285312931985483
MAE,train,0.9301278650612971
MAE,train,0.9312539661968187
MAE,train,0.9269538936489768
MAE,train,0.9403387719180014
MAE,train,0.9618535420572059
MAE,train,0.9446299152068123
MAE,train,0.8906970645363632
MAE,train,0.9025300393298178
MAE,test,1.1754079711557466
MAE,test,1.3309961367165788
MAE,test,1.2863692261726487
MAE,test,1.2354286803817638
MAE,test,1.3083075310492327
MAE,test,1.2446249363749597
MAE,test,1.083260111255904
MAE,test,1.2206040565487102
MAE,test,1.481734258169712
MAE,test,1.2454687927793457
Fit_time,train,1.2142901420593262
Fit_time,train,1.1752305030822754
Fit_time,train,1.239565372467041
Fit_time,train,1.1749019622802734
Fit_time,train,1.056821584701538
Fit_time,train,1.0675499439239502
Fit_time,train,1.0392303466796875
Fit_time,train,1.0495128631591797
Fit_time,train,1.078246831893921
Fit_time,train,1.0914461612701416
Fit_time,test,0.005000114440917969
Fit_time,test,0.005000114440917969
Fit_time,test,0.0050029754638671875
Fit_time,test,0.005510091781616211
Fit_time,test,0.005002021789550781
Fit_time,test,0.005000114440917969
Fit_time,test,0.005002737045288086
Fit_time,test,0.005115985870361328
Fit_time,test,0.005000591278076172
Fit_time,test,0.003999948501586914
