metric,dataset,value
RMSE,train,0.8127092122029552
RMSE,train,0.801243234948422
RMSE,train,0.8423218874238856
RMSE,train,0.8096796124285878
RMSE,train,0.8165510622288737
RMSE,train,0.8116774107126189
RMSE,train,0.8381833427853074
RMSE,train,0.8149874581756117
RMSE,train,0.8024392250857585
RMSE,train,0.8334116253327004
RMSE,test,1.4672753980752384
RMSE,test,1.6115608740192973
RMSE,test,1.412115491588687
RMSE,test,1.4429463894042738
RMSE,test,1.7536588627137863
RMSE,test,1.6912999922978897
RMSE,test,1.3694193126610898
RMSE,test,1.546910986445
RMSE,test,1.76440427278099
RMSE,test,1.5302223519886755
R2,train,0.9016850412432891
R2,train,0.9044061190997112
R2,train,0.8929661586973247
R2,train,0.8999682652637659
R2,train,0.8976507249955343
R2,train,0.9009356469685753
R2,train,0.8947464295173381
R2,train,0.9000129494209129
R2,train,0.8991515962252916
R2,train,0.8957023675153101
R2,test,0.6161450289939043
R2,test,0.5438780412711044
R2,test,0.683098326052642
R2,test,0.7092199869115443
R2,test,0.5855267183287061
R2,test,0.5441262960730131
R2,test,0.6906503604293159
R2,test,0.6220799139857717
R2,test,0.629522406833745
R2,test,0.623048910159018
MAE,train,0.5733609547706556
MAE,train,0.5752696100151645
MAE,train,0.5941242100968639
MAE,train,0.573367286325893
MAE,train,0.5700168838299975
MAE,train,0.5798050630808177
MAE,train,0.5936603999323044
MAE,train,0.5731619191447317
MAE,train,0.5626105060392033
MAE,train,0.5889923499525921
MAE,test,1.0725716952455664
MAE,test,1.1445927339412802
MAE,test,1.099611643775943
MAE,test,1.08027969248594
MAE,test,1.249156429910785
MAE,test,1.2191326276272876
MAE,test,0.9951507765037578
MAE,test,1.1693706309549268
MAE,test,1.29068380247974
MAE,test,1.0613628222069913
