metric,dataset,value
RMSE,train,1.7813308289207326
RMSE,train,1.7572793792845613
RMSE,train,1.7496969991814395
RMSE,train,1.765324459512857
RMSE,train,1.7019358215243412
RMSE,train,1.7604232588409048
RMSE,train,1.7673888031651146
RMSE,train,1.777761657024337
RMSE,train,1.7381520160177941
RMSE,train,1.7492619329106542
RMSE,test,1.9573091878583875
RMSE,test,2.1637470114237347
RMSE,test,2.258286695786692
RMSE,test,2.052342950224239
RMSE,test,2.4843684829261194
RMSE,test,2.2399614097451974
RMSE,test,1.974794562975547
RMSE,test,1.9658027504113593
RMSE,test,2.3576336348075713
RMSE,test,2.0445170647383852
R2,train,0.5276777501498522
R2,train,0.5401851768040808
R2,train,0.5381609679305075
R2,train,0.5244891075706992
R2,train,0.5553641941438956
R2,train,0.5340013224648223
R2,train,0.5320246431845224
R2,train,0.5242388481478086
R2,train,0.5268266876003178
R2,train,0.5405216717249336
R2,test,0.3169338450000715
R2,test,0.1777563789765958
R2,test,0.18952009720304575
R2,test,0.41174716625774266
R2,test,0.16816280998021838
R2,test,0.2003787620073354
R2,test,0.3566896134491102
R2,test,0.3896918019800314
R2,test,0.33851746467772215
R2,test,0.32708935284084695
MAE,train,1.3655876605585664
MAE,train,1.3472875130039734
MAE,train,1.344760006422228
MAE,train,1.3649834705536572
MAE,train,1.316334882387686
MAE,train,1.3511883185400864
MAE,train,1.3591800685206727
MAE,train,1.3623550970367897
MAE,train,1.3342160766168005
MAE,train,1.3494226517507604
MAE,test,1.5847742322234863
MAE,test,1.626562723681295
MAE,test,1.8578626044700488
MAE,test,1.6095852982596157
MAE,test,1.9018016084987461
MAE,test,1.7876152079692669
MAE,test,1.56785308834521
MAE,test,1.5645117965689388
MAE,test,1.8528219290506176
MAE,test,1.565380489358824
