metric,dataset,value
RMSE,train,1.0682381684585127
RMSE,train,1.0235755580818695
RMSE,train,1.056206423225021
RMSE,train,1.0197996429613245
RMSE,train,1.0293681469579916
RMSE,train,1.0483336888642667
RMSE,train,1.045099253918301
RMSE,train,1.041786203197391
RMSE,train,1.0527052985511929
RMSE,train,1.0341524190084364
RMSE,test,1.8064416130254615
RMSE,test,1.8363690478249737
RMSE,test,1.9834566233437014
RMSE,test,1.789607541802631
RMSE,test,2.0982869065709964
RMSE,test,2.122535408350143
RMSE,test,1.788547128213888
RMSE,test,1.8994714798622367
RMSE,test,2.0969082927911353
RMSE,test,1.8165990738276607
R2,train,0.8301422296657519
R2,train,0.8439940524629791
R2,train,0.8317083575804154
R2,train,0.8413130899745956
R2,train,0.8373479561696112
R2,train,0.834746915993285
R2,train,0.8363658816399712
R2,train,0.8366199178697604
R2,train,0.8264365210594753
R2,train,0.8394078005483908
R2,test,0.41817583378957834
R2,test,0.4077467140002011
R2,test,0.3747848217749902
R2,test,0.5527197080147853
R2,test,0.40661569904306594
R2,test,0.28201869573621685
R2,test,0.4723116644991969
R2,test,0.4301836832172917
R2,test,0.47673146654454945
R2,test,0.4687559275304293
MAE,train,0.8169152555224689
MAE,train,0.7818905358420569
MAE,train,0.8085567210963154
MAE,train,0.7783477567051174
MAE,train,0.7828090270628202
MAE,train,0.8020296522852991
MAE,train,0.791459122172417
MAE,train,0.7897778274949503
MAE,train,0.8056601526948425
MAE,train,0.7865631107349231
MAE,test,1.4285089939402815
MAE,test,1.4182012124988226
MAE,test,1.5658445344493876
MAE,test,1.3965414286530047
MAE,test,1.595839639547427
MAE,test,1.6718693503284998
MAE,test,1.361460827548241
MAE,test,1.4970833153967422
MAE,test,1.6040160536393255
MAE,test,1.375040286450988
