metric,dataset,value
RMSE,train,1.3256318197053223
RMSE,train,1.319633629200741
RMSE,train,1.299966861027362
RMSE,train,1.3256943274990625
RMSE,train,1.331095869935234
RMSE,train,1.3233405245715242
RMSE,train,1.3324831956880328
RMSE,train,1.3238566956831472
RMSE,train,1.3043943026183324
RMSE,train,1.3262241404790314
RMSE,test,1.8994193298899442
RMSE,test,1.9677388781927347
RMSE,test,2.022038137046826
RMSE,test,1.8236071145459127
RMSE,test,2.2107544730435884
RMSE,test,2.090005823530663
RMSE,test,1.796124413860039
RMSE,test,2.0175275392916143
RMSE,test,2.097607894604932
RMSE,test,1.8905380863973276
R2,train,0.7384256972286717
R2,train,0.7406966719073032
R2,train,0.745064976993721
R2,train,0.731837411936979
R2,train,0.7280201397376324
R2,train,0.7366740178844795
R2,train,0.7339996139442033
R2,train,0.7361701931767596
R2,train,0.7335212912162044
R2,train,0.7358873519398891
R2,test,0.3567413951469326
R2,test,0.3199787508449209
R2,test,0.3502253213173725
R2,test,0.5355631018170934
R2,test,0.341300497145855
R2,test,0.30385735301820094
R2,test,0.4678310276606511
R2,test,0.35715203995855815
R2,test,0.47638224699609644
R2,test,0.424630571594937
MAE,train,1.0108121980057345
MAE,train,1.0042830478382365
MAE,train,0.9851137032540471
MAE,train,1.0204417387654343
MAE,train,1.0170374280813856
MAE,train,1.0162719747512792
MAE,train,1.0245842724485748
MAE,train,1.0139883135654286
MAE,train,1.0034191562450323
MAE,train,1.0127162235966813
MAE,test,1.5114676038004249
MAE,test,1.5003324105415787
MAE,test,1.6188446032873554
MAE,test,1.4194933795334508
MAE,test,1.6332819861315409
MAE,test,1.6431917117661048
MAE,test,1.3900937846161046
MAE,test,1.5751029523421267
MAE,test,1.575346892704497
MAE,test,1.403369002011916
Fit_time,train,1.0055747032165527
Fit_time,train,0.9963817596435547
Fit_time,train,1.0095739364624023
Fit_time,train,0.9796242713928223
Fit_time,train,1.007615327835083
Fit_time,train,1.0216646194458008
Fit_time,train,1.0498945713043213
Fit_time,train,0.9387657642364502
Fit_time,train,0.92842698097229
Fit_time,train,1.015124797821045
Fit_time,test,0.004999637603759766
Fit_time,test,0.005000114440917969
Fit_time,test,0.004998922348022461
Fit_time,test,0.005003690719604492
Fit_time,test,0.004302978515625
Fit_time,test,0.004029750823974609
Fit_time,test,0.003999233245849609
Fit_time,test,0.003999233245849609
Fit_time,test,0.00529932975769043
Fit_time,test,0.004001140594482422
