metric,dataset,value
RMSE,train,0.7317708470700187
RMSE,train,0.7170437219160459
RMSE,train,0.7013958451862012
RMSE,train,0.7217669391100476
RMSE,train,0.7579172685913417
RMSE,train,0.7085671375924169
RMSE,train,0.702763537053133
RMSE,train,0.7310081075426206
RMSE,train,0.6947128640679544
RMSE,train,0.7359024091727131
RMSE,test,1.296029694937162
RMSE,test,1.4100955377524411
RMSE,test,1.3940978480569963
RMSE,test,1.4032338498265033
RMSE,test,1.3535477862924912
RMSE,test,1.146192854160643
RMSE,test,1.3484402837969007
RMSE,test,1.2003787119943397
RMSE,test,1.5081858264302552
RMSE,test,1.2243598897759442
R2,train,0.8895487123214169
R2,train,0.8916638471733669
R2,train,0.8975223080415764
R2,train,0.8918356100988686
R2,train,0.879270562643302
R2,train,0.8937866318879993
R2,train,0.8982699960501259
R2,train,0.8880777267264212
R2,train,0.8973326373045363
R2,train,0.887785834174805
R2,test,0.6010801202277447
R2,test,0.6077010092121005
R2,test,0.581597433055099
R2,test,0.5560022060033312
R2,test,0.62177140523834
R2,test,0.7500301152615554
R2,test,0.5632313962804558
R2,test,0.704830029529077
R2,test,0.5784306290388002
R2,test,0.6584581139994771
MAE,train,0.4543762776263392
MAE,train,0.4507535216715938
MAE,train,0.4375164168789736
MAE,train,0.4456014688776167
MAE,train,0.47183585633980224
MAE,train,0.4411868492884062
MAE,train,0.44463369212140164
MAE,train,0.45951102362697005
MAE,train,0.43676537613506855
MAE,train,0.4664267898730624
MAE,test,0.8493618905819541
MAE,test,0.8364949580754486
MAE,test,0.8424761802956269
MAE,test,0.9129797805087853
MAE,test,0.8023167074230758
MAE,test,0.7737655543249814
MAE,test,0.8772020321615465
MAE,test,0.7369279841555871
MAE,test,0.9715808257501138
MAE,test,0.7882157782208132
Fit_time,train,2.330723762512207
Fit_time,train,2.3468313217163086
Fit_time,train,2.326784372329712
Fit_time,train,2.263662815093994
Fit_time,train,2.237494468688965
Fit_time,train,2.284907102584839
Fit_time,train,2.3108432292938232
Fit_time,train,2.318514585494995
Fit_time,train,2.2827632427215576
Fit_time,train,2.308295965194702
Fit_time,test,0.007002592086791992
Fit_time,test,0.00516057014465332
Fit_time,test,0.00700068473815918
Fit_time,test,0.0074923038482666016
Fit_time,test,0.007119178771972656
Fit_time,test,0.007016897201538086
Fit_time,test,0.006999492645263672
Fit_time,test,0.006716489791870117
Fit_time,test,0.00822758674621582
Fit_time,test,0.007950305938720703
