metric,dataset,value
RMSE,train,0.7280167112406571
RMSE,train,0.7443853910055961
RMSE,train,0.7351740359128703
RMSE,train,0.7514425729687993
RMSE,train,0.7396854658305646
RMSE,train,0.7640621521665689
RMSE,train,0.7324868331221022
RMSE,train,0.7517426384745353
RMSE,train,0.745841728489875
RMSE,train,0.7519568571217768
RMSE,test,1.3295395232285128
RMSE,test,1.4362189067399544
RMSE,test,1.2970580948398882
RMSE,test,1.318686148364568
RMSE,test,1.2094775322982578
RMSE,test,1.1420576629601045
RMSE,test,1.3745720150589134
RMSE,test,1.153418427707686
RMSE,test,1.2575908912575993
RMSE,test,1.1117322985127411
R2,train,0.8906790812619241
R2,train,0.8832443741228931
R2,train,0.8874142879141791
R2,train,0.8827583484679219
R2,train,0.8850090286102761
R2,train,0.8764978429740518
R2,train,0.8894827000400275
R2,train,0.8816384883695414
R2,train,0.8816644919141361
R2,train,0.8828362984133452
R2,test,0.5801846836514333
R2,test,0.5930309395578706
R2,test,0.6378181493287804
R2,test,0.6078939024542914
R2,test,0.6980028922679362
R2,test,0.7518305254462412
R2,test,0.5461388894580177
R2,test,0.7274731016708971
R2,test,0.706884958123968
R2,test,0.7184041621660615
MAE,train,0.4373157535501383
MAE,train,0.45146486478536674
MAE,train,0.4439840618651725
MAE,train,0.45810134140637504
MAE,train,0.4468496539985834
MAE,train,0.46401937188823494
MAE,train,0.44575138432178407
MAE,train,0.45895327541151565
MAE,train,0.45616800453764206
MAE,train,0.46430256017493454
MAE,test,0.8642610567644814
MAE,test,0.8594847369759538
MAE,test,0.8257558385308258
MAE,test,0.8453982311230203
MAE,test,0.7073403312633082
MAE,test,0.7719037206582146
MAE,test,0.8331159766788784
MAE,test,0.7262502742524674
MAE,test,0.8341272984304116
MAE,test,0.7249477247895822
