metric,dataset,value
RMSE,train,1.4539656309764653
RMSE,train,1.3406302587588301
RMSE,train,1.4071343925835598
RMSE,train,1.4361094507781285
RMSE,train,1.3181531956832784
RMSE,train,1.4393026410432372
RMSE,train,1.3964610277905203
RMSE,train,1.41097588640043
RMSE,train,1.3190807940080511
RMSE,train,1.3711612174016756
RMSE,test,1.4625806085265824
RMSE,test,1.5941918452511705
RMSE,test,1.4074396823134503
RMSE,test,1.4704532081659027
RMSE,test,1.5453699670179104
RMSE,test,1.3137572942181015
RMSE,test,1.3601233516178637
RMSE,test,1.286375539897983
RMSE,test,1.5696364888236094
RMSE,test,1.2005882271849861
R2,train,0.5639574527740479
R2,train,0.6212958097457886
R2,train,0.5875473022460938
R2,train,0.5717815160751343
R2,train,0.6348247528076172
R2,train,0.5617505311965942
R2,train,0.5983125567436218
R2,train,0.583023726940155
R2,train,0.6298612356185913
R2,train,0.6104310750961304
R2,test,0.4919627904891968
R2,test,0.4985803961753845
R2,test,0.5735507011413574
R2,test,0.5124455690383911
R2,test,0.5069713592529297
R2,test,0.6716004014015198
R2,test,0.555630087852478
R2,test,0.6610223054885864
R2,test,0.5433772802352905
R2,test,0.6715917587280273
MAE,train,1.0321022272109985
MAE,train,0.9434681534767151
MAE,train,1.0196667909622192
MAE,train,1.0392632484436035
MAE,train,0.9362189173698425
MAE,train,1.046696662902832
MAE,train,0.9883396625518799
MAE,train,1.0052103996276855
MAE,train,0.9226920008659363
MAE,train,0.9687761664390564
MAE,test,0.932453453540802
MAE,test,0.946491539478302
MAE,test,0.981891393661499
MAE,test,1.0528069734573364
MAE,test,0.9632959961891174
MAE,test,0.8408166170120239
MAE,test,0.8996659517288208
MAE,test,0.8391033411026001
MAE,test,1.018734335899353
MAE,test,0.7841821908950806
Fit_time,train,66.5390191078186
Fit_time,train,66.92722034454346
Fit_time,train,66.8062436580658
Fit_time,train,67.2786865234375
Fit_time,train,66.28679895401001
Fit_time,train,66.1160659790039
Fit_time,train,66.07005977630615
Fit_time,train,66.53162479400635
Fit_time,train,66.63748812675476
Fit_time,train,67.58046054840088
Fit_time,test,0.024999618530273438
Fit_time,test,0.025001049041748047
Fit_time,test,0.028175830841064453
Fit_time,test,0.027001142501831055
Fit_time,test,0.03151202201843262
Fit_time,test,0.02675771713256836
Fit_time,test,0.024005413055419922
Fit_time,test,0.025024890899658203
Fit_time,test,0.025000810623168945
Fit_time,test,0.027690649032592773
