metric,dataset,value
RMSE,train,0.9493049415133383
RMSE,train,0.9532542781048113
RMSE,train,0.9450266340002829
RMSE,train,0.9612915889024074
RMSE,train,0.9381957517203904
RMSE,train,0.9486463279567627
RMSE,train,0.9668004270948098
RMSE,train,0.9478728145483295
RMSE,train,0.9363058089385544
RMSE,train,0.9729724419848411
RMSE,test,1.4676984148754986
RMSE,test,1.3234814523741476
RMSE,test,1.4060723951453917
RMSE,test,1.3554223745939176
RMSE,test,1.405588759037816
RMSE,test,1.3213187464517344
RMSE,test,1.337916930697417
RMSE,test,1.3494017713997393
RMSE,test,1.5284354793561308
RMSE,test,1.055921771998675
R2,train,0.814120258807586
R2,train,0.8085304750539176
R2,train,0.8139665437715006
R2,train,0.8081328522572258
R2,train,0.8150064884373047
R2,train,0.8096180249583029
R2,train,0.8074673942953055
R2,train,0.8118205172116881
R2,train,0.8135093081889229
R2,train,0.8038409654577324
R2,test,0.48840130823748085
R2,test,0.6544142446382712
R2,test,0.5743788599522519
R2,test,0.5857428545474019
R2,test,0.5921281582430097
R2,test,0.6678092844150545
R2,test,0.5700219608089692
R2,test,0.6269919934401474
R2,test,0.5670342323368881
R2,test,0.745967504583858
MAE,train,0.5742951285079101
MAE,train,0.5858770416588488
MAE,train,0.5799541611695724
MAE,train,0.5832397540322908
MAE,train,0.5733271170884836
MAE,train,0.5766924303883035
MAE,train,0.6003154375245839
MAE,train,0.5840629669697187
MAE,train,0.5728198631301986
MAE,train,0.60581787823876
MAE,test,0.9411507621694755
MAE,test,0.8004689718079965
MAE,test,0.9420714770080111
MAE,test,0.9108667750652953
MAE,test,0.8603783384528183
MAE,test,0.842044304368398
MAE,test,0.8768726311061735
MAE,test,0.8230921645974553
MAE,test,0.9890237796014911
MAE,test,0.6834945960799641
