metric,dataset,value
RMSE,train,0.7924013212941281
RMSE,train,0.7924621505126848
RMSE,train,0.7930591670796249
RMSE,train,0.8211011838018787
RMSE,train,0.8256885411286056
RMSE,train,0.7860994319341766
RMSE,train,0.815429698802767
RMSE,train,0.8227741736051909
RMSE,train,0.7865196436773256
RMSE,train,0.8017884958146332
RMSE,test,1.5154506399079997
RMSE,test,1.457705940295391
RMSE,test,1.261465960632921
RMSE,test,1.2973112345058444
RMSE,test,1.4147243956350413
RMSE,test,1.32968684562353
RMSE,test,1.4218117150908591
RMSE,test,1.2363703143165545
RMSE,test,1.5318704537156453
RMSE,test,1.3144385230745643
R2,train,0.8704877172883108
R2,train,0.8676758261981914
R2,train,0.8689870768424012
R2,train,0.8600142942060538
R2,train,0.8567145515791035
R2,train,0.8692709416788644
R2,train,0.8630368703894022
R2,train,0.8582139717254349
R2,train,0.8684045504572734
R2,train,0.8667930522341956
R2,test,0.45456956773172696
R2,test,0.5807626554426714
R2,test,0.657422450313476
R2,test,0.6205023723444935
R2,test,0.5868089949607607
R2,test,0.663588338774493
R2,test,0.514407296575417
R2,test,0.6868641871599844
R2,test,0.5650859688852188
R2,test,0.6063535469581351
MAE,train,0.48308375504825973
MAE,train,0.4838987183735364
MAE,train,0.478163215781316
MAE,train,0.5034871734948089
MAE,train,0.5018384535564056
MAE,train,0.47978956364810327
MAE,train,0.5066338008779182
MAE,train,0.5112263521868385
MAE,train,0.4736242572075914
MAE,train,0.4885736780785434
MAE,test,0.9647301518302135
MAE,test,0.9113969672120714
MAE,test,0.8109543597395221
MAE,test,0.8732138856452082
MAE,test,0.8463042247763832
MAE,test,0.8532530438578233
MAE,test,0.9400010334344574
MAE,test,0.7505814710422446
MAE,test,0.9821732641613535
MAE,test,0.8738186339456819
