metric,dataset,value
RMSE,train,0.8504012229665187
RMSE,train,0.8482547881775203
RMSE,train,0.8325105896698551
RMSE,train,0.8570277745596646
RMSE,train,0.85891665837315
RMSE,train,0.8437732504031642
RMSE,train,0.8411225388413
RMSE,train,0.8779356037072918
RMSE,train,0.8298354470079695
RMSE,train,0.8672436989653555
RMSE,test,1.3457697186008513
RMSE,test,1.3111733987267462
RMSE,test,1.3572112869160293
RMSE,test,1.4087154761306122
RMSE,test,1.2550444551911837
RMSE,test,1.180919179390637
RMSE,test,1.3335813776303904
RMSE,test,1.2590835607754673
RMSE,test,1.415134046015391
RMSE,test,1.1179380740050275
R2,train,0.8508345206214786
R2,train,0.8483875822930863
R2,train,0.8556281603043785
R2,train,0.8474963885665469
R2,train,0.8449500524169634
R2,train,0.8493848446146526
R2,train,0.8542699337093851
R2,train,0.8385650889928332
R2,train,0.8535107725661502
R2,train,0.8441561953504964
R2,test,0.5698724317679881
R2,test,0.6608120824172858
R2,test,0.6034456191104076
R2,test,0.5525265433079047
R2,test,0.6748188279799758
R2,test,0.7346539365826588
R2,test,0.5728041546546828
R2,test,0.675253327855754
R2,test,0.6288456980081465
R2,test,0.7152516083564936
MAE,train,0.5314846069899751
MAE,train,0.5305854520826594
MAE,train,0.5242713323136492
MAE,train,0.5259117018768333
MAE,train,0.536683602308014
MAE,train,0.5261088286069789
MAE,train,0.5289473229315393
MAE,train,0.5484270314681249
MAE,train,0.51525556465467
MAE,train,0.549469691113659
MAE,test,0.8820522745923995
MAE,test,0.8071792707845271
MAE,test,0.8692590020583467
MAE,test,0.9223415541338932
MAE,test,0.7194247874924439
MAE,test,0.7973116826892763
MAE,test,0.8694882668273054
MAE,test,0.7903584384267938
MAE,test,0.9396073517358534
MAE,test,0.7157387084125275
Fit_time,train,1.082418441772461
Fit_time,train,1.119180679321289
Fit_time,train,1.0653071403503418
Fit_time,train,0.9526081085205078
Fit_time,train,0.9885351657867432
Fit_time,train,1.01576566696167
Fit_time,train,1.0127570629119873
Fit_time,train,0.9569413661956787
Fit_time,train,0.9965686798095703
Fit_time,train,0.9711759090423584
Fit_time,test,0.005000114440917969
Fit_time,test,0.004001140594482422
Fit_time,test,0.004999876022338867
Fit_time,test,0.005003452301025391
Fit_time,test,0.003999471664428711
Fit_time,test,0.004000663757324219
Fit_time,test,0.0039997100830078125
Fit_time,test,0.004999876022338867
Fit_time,test,0.004999399185180664
Fit_time,test,0.0039997100830078125
