metric,dataset,value
RMSE,train,0.5325373311008694
RMSE,train,0.5365457247565076
RMSE,train,0.5388195762050147
RMSE,train,0.5621462345298812
RMSE,train,0.5575727722330079
RMSE,train,0.5610179450281022
RMSE,train,0.530005961870454
RMSE,train,0.545202476966588
RMSE,train,0.5525741884211887
RMSE,train,0.572456041755683
RMSE,test,1.3854205865254794
RMSE,test,1.3250172775869493
RMSE,test,1.3149497920412379
RMSE,test,1.4487434697765138
RMSE,test,1.248540216643783
RMSE,test,1.2398187857159548
RMSE,test,1.366363407813459
RMSE,test,1.1443239095836724
RMSE,test,1.2982142783307589
RMSE,test,1.1793297231420188
R2,train,0.941504716873169
R2,train,0.9393409490585327
R2,train,0.9395231008529663
R2,train,0.9343871474266052
R2,train,0.9346609711647034
R2,train,0.9334158897399902
R2,train,0.9421381950378418
R2,train,0.937743067741394
R2,train,0.9350464344024658
R2,train,0.9320966005325317
R2,test,0.5441529750823975
R2,test,0.6536116600036621
R2,test,0.6277573108673096
R2,test,0.5267357230186462
R2,test,0.6781805753707886
R2,test,0.7075250148773193
R2,test,0.5515433549880981
R2,test,0.7317538261413574
R2,test,0.6876423954963684
R2,test,0.6831189393997192
MAE,train,0.3311518430709839
MAE,train,0.3356532156467438
MAE,train,0.32933348417282104
MAE,train,0.35204175114631653
MAE,train,0.3485778570175171
MAE,train,0.3586769104003906
MAE,train,0.3338322341442108
MAE,train,0.34466487169265747
MAE,train,0.34248530864715576
MAE,train,0.36501288414001465
MAE,test,0.8985844850540161
MAE,test,0.8178579807281494
MAE,test,0.8546082973480225
MAE,test,0.9217085838317871
MAE,test,0.7519422173500061
MAE,test,0.8353849649429321
MAE,test,0.9084585309028625
MAE,test,0.7046549916267395
MAE,test,0.8545076847076416
MAE,test,0.7592376470565796
Fit_time,train,12.095717191696167
Fit_time,train,11.632593870162964
Fit_time,train,12.455106496810913
Fit_time,train,10.750163555145264
Fit_time,train,10.910531044006348
Fit_time,train,11.138209104537964
Fit_time,train,11.479743719100952
Fit_time,train,13.685633420944214
Fit_time,train,11.850939750671387
Fit_time,train,10.98300814628601
Fit_time,test,0.010585546493530273
Fit_time,test,0.010062217712402344
Fit_time,test,0.00938558578491211
Fit_time,test,0.009026765823364258
Fit_time,test,0.010033369064331055
Fit_time,test,0.009546756744384766
Fit_time,test,0.010550260543823242
Fit_time,test,0.010044574737548828
Fit_time,test,0.010298728942871094
Fit_time,test,0.010795116424560547
