metric,dataset,value
RMSE,train,0.5912025665305568
RMSE,train,0.5788347424038645
RMSE,train,0.5948145508469779
RMSE,train,0.5739834621303284
RMSE,train,0.5961663868096242
RMSE,train,0.594445373508682
RMSE,train,0.577713355867839
RMSE,train,0.5964113122027149
RMSE,train,0.5847045642313851
RMSE,train,0.6130156701280235
RMSE,test,1.4286698017990833
RMSE,test,1.4384808718324793
RMSE,test,1.3755766353051628
RMSE,test,1.5178706256684362
RMSE,test,1.3584345929992476
RMSE,test,1.2340824891222593
RMSE,test,1.446101700046311
RMSE,test,1.1836567978386219
RMSE,test,1.3527583746635883
RMSE,test,1.218778854419798
R2,train,0.9279069900512695
R2,train,0.9294021725654602
R2,train,0.9263002276420593
R2,train,0.9315947890281677
R2,train,0.9253027439117432
R2,train,0.9252448678016663
R2,train,0.9312527179718018
R2,train,0.9254987239837646
R2,train,0.927273154258728
R2,train,0.9221335649490356
R2,test,0.5152480602264404
R2,test,0.5917479991912842
R2,test,0.5926408767700195
R2,test,0.4804943799972534
R2,test,0.6190353631973267
R2,test,0.7102251052856445
R2,test,0.49767398834228516
R2,test,0.7129964828491211
R2,test,0.6608437895774841
R2,test,0.6615647077560425
MAE,train,0.36749860644340515
MAE,train,0.3637179136276245
MAE,train,0.3719375729560852
MAE,train,0.35907113552093506
MAE,train,0.37228354811668396
MAE,train,0.379067063331604
MAE,train,0.36509230732917786
MAE,train,0.3833792507648468
MAE,train,0.3661687970161438
MAE,train,0.38927748799324036
MAE,test,0.9210997819900513
MAE,test,0.8921176791191101
MAE,test,0.9104238748550415
MAE,test,0.9823682904243469
MAE,test,0.8346320390701294
MAE,test,0.8123313188552856
MAE,test,0.9214745759963989
MAE,test,0.7491050958633423
MAE,test,0.9026188850402832
MAE,test,0.8064696192741394
Fit_time,train,9.617695808410645
Fit_time,train,9.489754676818848
Fit_time,train,9.156582593917847
Fit_time,train,10.247958898544312
Fit_time,train,9.786254167556763
Fit_time,train,10.092295169830322
Fit_time,train,10.016740798950195
Fit_time,train,10.94989824295044
Fit_time,train,9.646272659301758
Fit_time,train,9.561784505844116
Fit_time,test,0.008535623550415039
Fit_time,test,0.009119749069213867
Fit_time,test,0.00810551643371582
Fit_time,test,0.00899958610534668
Fit_time,test,0.007999181747436523
Fit_time,test,0.008882761001586914
Fit_time,test,0.008751392364501953
Fit_time,test,0.009000062942504883
Fit_time,test,0.008545875549316406
Fit_time,test,0.009006261825561523
