metric,dataset,value
RMSE,train,1.243174756936538
RMSE,train,1.235273064713688
RMSE,train,1.2302110533411126
RMSE,train,1.249108934092677
RMSE,train,1.245351762557158
RMSE,train,1.2389288887677776
RMSE,train,1.255108665318893
RMSE,train,1.2495490792530863
RMSE,train,1.2249234196356689
RMSE,train,1.2586437681299194
RMSE,test,1.4459612809274376
RMSE,test,1.690258459681102
RMSE,test,1.4942578850066486
RMSE,test,1.5160623550405095
RMSE,test,1.4328333026518703
RMSE,test,1.3599190898575437
RMSE,test,1.379913310368669
RMSE,test,1.4338829002700848
RMSE,test,1.6476850820200801
RMSE,test,1.4323231321482286
R2,train,0.6812244952196235
R2,train,0.6784799378904282
R2,train,0.6847448374553005
R2,train,0.6760403179979042
R2,train,0.6740479988819411
R2,train,0.6752793351945232
R2,train,0.6755160072545603
R2,train,0.6729766426521953
R2,train,0.680817111486375
R2,train,0.6717438317534534
R2,test,0.5034430068627673
R2,test,0.43632814440465717
R2,test,0.5193168050475445
R2,test,0.4817314739641969
R2,test,0.5761633508150659
R2,test,0.6481168773523635
R2,test,0.5426048204241449
R2,test,0.5788246229461864
R2,test,0.49683808778967953
R2,test,0.5325794556813899
MAE,train,0.7766770682040246
MAE,train,0.7600660637133074
MAE,train,0.7512045056792291
MAE,train,0.772037527267095
MAE,train,0.7797339092207711
MAE,train,0.7710348115112257
MAE,train,0.7967593389015647
MAE,train,0.7881782428648679
MAE,train,0.7565072653473172
MAE,train,0.7914121226390635
MAE,test,0.9792481012150843
MAE,test,1.0590688648463975
MAE,test,1.0022600024537327
MAE,test,1.0261104479398617
MAE,test,0.887140031897454
MAE,test,0.8633733030574199
MAE,test,0.8765490818630662
MAE,test,0.8947449765179062
MAE,test,1.0832262128200523
MAE,test,0.8802888917741976
