metric,dataset,value
RMSE,train,1.0300841337057187
RMSE,train,1.0215646971123395
RMSE,train,1.019023799351503
RMSE,train,1.020121132703637
RMSE,train,1.0312041984037965
RMSE,train,1.0310839354785006
RMSE,train,1.0283353080313853
RMSE,train,1.0349376100698104
RMSE,train,1.0090580604600952
RMSE,train,1.0453285276633122
RMSE,test,1.4620330496762517
RMSE,test,1.4806168590183675
RMSE,test,1.3645548195916115
RMSE,test,1.410536205239147
RMSE,test,1.3436778819003405
RMSE,test,1.2710439656900938
RMSE,test,1.405952389070964
RMSE,test,1.2252552807928114
RMSE,test,1.4255420084295165
RMSE,test,1.171774962587309
R2,train,0.7811402132838896
R2,train,0.7801057433270632
R2,train,0.7836924831376769
R2,train,0.7839303225175627
R2,train,0.7765095771656356
R2,train,0.7750918418604033
R2,train,0.782178814890667
R2,train,0.7756632238311378
R2,train,0.7834022024154604
R2,train,0.7735810138502984
R2,test,0.49234326177094156
R2,test,0.5674806967890997
R2,test,0.5991426952643959
R2,test,0.5513690995666543
R2,test,0.6272672872831648
R2,test,0.6926073753530113
R2,test,0.5251797811270632
R2,test,0.6924690937340974
R2,test,0.6233661244006425
R2,test,0.6871658086425965
MAE,train,0.6362677857381555
MAE,train,0.6335927566338617
MAE,train,0.6291684154186068
MAE,train,0.6211235274028539
MAE,train,0.6401926491380768
MAE,train,0.6410377284083449
MAE,train,0.6428592358862035
MAE,train,0.6489262706474539
MAE,train,0.6214334572051633
MAE,train,0.6577114348616557
MAE,test,0.9341239437739614
MAE,test,0.8772811049422541
MAE,test,0.8727302512974671
MAE,test,0.9526199711516004
MAE,test,0.7843703610415572
MAE,test,0.8145588977296879
MAE,test,0.8974424895270217
MAE,test,0.7405173222533427
MAE,test,0.9469222285436157
MAE,test,0.7256167575831142
