metric,dataset,value
RMSE,train,1.551200060659194
RMSE,train,1.5575896353362568
RMSE,train,1.501850179212351
RMSE,train,1.5037963827055936
RMSE,train,1.4976077872381548
RMSE,train,1.580889178938421
RMSE,train,1.5287590786406218
RMSE,train,1.5534005517427445
RMSE,train,1.5139967834257075
RMSE,train,1.5354767675899865
RMSE,test,1.789755874268203
RMSE,test,1.9365428898575452
RMSE,test,1.8206946499849683
RMSE,test,1.8276311093121238
RMSE,test,1.8990590526203643
RMSE,test,1.819748099259931
RMSE,test,1.7775810334825595
RMSE,test,1.7041764119933651
RMSE,test,1.9599853879033582
RMSE,test,1.5806511781696018
R2,train,0.5036863088607788
R2,train,0.48880308866500854
R2,train,0.5301532745361328
R2,train,0.5304645299911499
R2,train,0.5286258459091187
R2,train,0.4712868928909302
R2,train,0.5185970067977905
R2,train,0.4945955276489258
R2,train,0.5123910903930664
R2,train,0.5114672183990479
R2,test,0.2392473816871643
R2,test,0.2600977420806885
R2,test,0.28635525703430176
R2,test,0.24682164192199707
R2,test,0.2554666996002197
R2,test,0.3699212074279785
R2,test,0.24099117517471313
R2,test,0.4050716161727905
R2,test,0.2880246043205261
R2,test,0.43075668811798096
MAE,train,1.1051369905471802
MAE,train,1.1220601797103882
MAE,train,1.085734248161316
MAE,train,1.0739046335220337
MAE,train,1.0655503273010254
MAE,train,1.1216453313827515
MAE,train,1.1203974485397339
MAE,train,1.1097111701965332
MAE,train,1.0663164854049683
MAE,train,1.1182267665863037
MAE,test,1.3365874290466309
MAE,test,1.3878484964370728
MAE,test,1.3201416730880737
MAE,test,1.3875066041946411
MAE,test,1.3551843166351318
MAE,test,1.3597908020019531
MAE,test,1.384152889251709
MAE,test,1.2336900234222412
MAE,test,1.4386804103851318
MAE,test,1.1334422826766968
