metric,dataset,value
RMSE,train,1.6790118610719702
RMSE,train,1.6564620260163023
RMSE,train,1.6221213886779013
RMSE,train,1.6820357121090808
RMSE,train,1.648327068950808
RMSE,train,1.7007039912509565
RMSE,train,1.6015921985384767
RMSE,train,1.5643548255927184
RMSE,train,1.6302334800787592
RMSE,train,1.6089132442805796
RMSE,test,1.851842158963303
RMSE,test,1.9896663495331572
RMSE,test,1.9603889579584954
RMSE,test,1.922762658043436
RMSE,test,2.112050034493872
RMSE,test,2.0277852953883246
RMSE,test,1.8746333717484336
RMSE,test,1.6327523398381858
RMSE,test,2.0848112459071184
RMSE,test,1.7059595161187109
R2,train,0.4185289144515991
R2,train,0.421843945980072
R2,train,0.4518875479698181
R2,train,0.412563681602478
R2,train,0.42897337675094604
R2,train,0.38810819387435913
R2,train,0.4716343879699707
R2,train,0.48744237422943115
R2,train,0.434644877910614
R2,train,0.46362006664276123
R2,test,0.18555116653442383
R2,test,0.21894675493240356
R2,test,0.17264413833618164
R2,test,0.1663723587989807
R2,test,0.07909339666366577
R2,test,0.21762263774871826
R2,test,0.15584790706634521
R2,test,0.4538949131965637
R2,test,0.19444948434829712
R2,test,0.3369240164756775
MAE,train,1.2331056594848633
MAE,train,1.1885898113250732
MAE,train,1.1773828268051147
MAE,train,1.207478404045105
MAE,train,1.2054495811462402
MAE,train,1.244968056678772
MAE,train,1.1654049158096313
MAE,train,1.094170093536377
MAE,train,1.172057867050171
MAE,train,1.1431483030319214
MAE,test,1.433384895324707
MAE,test,1.4554158449172974
MAE,test,1.4659960269927979
MAE,test,1.5089187622070312
MAE,test,1.5028884410858154
MAE,test,1.5906555652618408
MAE,test,1.490570306777954
MAE,test,1.144459843635559
MAE,test,1.5700173377990723
MAE,test,1.3501657247543335
