metric,dataset,value
RMSE,train,0.9697989687039337
RMSE,train,0.9897808755090663
RMSE,train,0.9682113308737904
RMSE,train,0.9912498417214741
RMSE,train,0.9971707923097687
RMSE,train,0.9838511872317746
RMSE,train,0.9761131256581584
RMSE,train,0.9915896685649348
RMSE,train,0.9710892819427411
RMSE,train,0.9966118209889885
RMSE,test,1.4235925850529036
RMSE,test,1.4239781243450744
RMSE,test,1.3910090586423673
RMSE,test,1.3789377994170466
RMSE,test,1.3103811955858096
RMSE,test,1.2499502904429416
RMSE,test,1.3533218484678218
RMSE,test,1.2513741377666945
RMSE,test,1.5631719883092088
RMSE,test,1.2507780262157582
R2,train,0.8060079145090826
R2,train,0.7935759711806848
R2,train,0.8047265140149427
R2,train,0.7959875850500057
R2,train,0.7910181012560134
R2,train,0.7952254425502989
R2,train,0.8037403921319293
R2,train,0.7940621750474242
R2,train,0.7993957886921181
R2,train,0.7941933970839449
R2,test,0.518687423905198
R2,test,0.5999385087421427
R2,test,0.5834494203254732
R2,test,0.5712441481219295
R2,test,0.6455112331008279
R2,test,0.7027254157365252
R2,test,0.5600633309173599
R2,test,0.679218028356301
R2,test,0.5471307138453
R2,test,0.6435601346843698
MAE,train,0.5914398969736654
MAE,train,0.6134658024477674
MAE,train,0.5940592891748724
MAE,train,0.6138827937540644
MAE,train,0.6157595223275992
MAE,train,0.6079166692284874
MAE,train,0.6113491990204979
MAE,train,0.6202276351905383
MAE,train,0.5949083538844738
MAE,train,0.6231957535785091
MAE,test,0.9192375146564764
MAE,test,0.8729385655695466
MAE,test,0.8880746139189591
MAE,test,0.8810900318561814
MAE,test,0.7634824165767538
MAE,test,0.8203549808317414
MAE,test,0.8446661588222568
MAE,test,0.7745797679864603
MAE,test,1.0281315467704852
MAE,test,0.7753447082128752
