metric,dataset,value
RMSE,train,1.0238576824169094
RMSE,train,1.0202352164777464
RMSE,train,1.0084887816477304
RMSE,train,1.0252607720299358
RMSE,train,1.019029450343491
RMSE,train,1.03043615203718
RMSE,train,1.021202127009288
RMSE,train,1.046922348784368
RMSE,train,0.988081189968239
RMSE,train,1.050073586571374
RMSE,test,1.3531223109606265
RMSE,test,1.6085219840268645
RMSE,test,1.274794107838827
RMSE,test,1.4564903581038198
RMSE,test,1.383722942033737
RMSE,test,1.332103269301257
RMSE,test,1.357884138861557
RMSE,test,1.222200667205373
RMSE,test,1.537113773049284
RMSE,test,1.3199785704042224
R2,train,0.7837780584956069
R2,train,0.7806777187005272
R2,train,0.7881418865660977
R2,train,0.7817476057346584
R2,train,0.7817556330413054
R2,train,0.7753743523522619
R2,train,0.7851902237378667
R2,train,0.7704374306515575
R2,train,0.7923141119326707
R2,train,0.7715207814059591
R2,test,0.5651596017685361
R2,test,0.48952542515204234
R2,test,0.6501451316656319
R2,test,0.5216608414465957
R2,test,0.6047194396778974
R2,test,0.6623645141501339
R2,test,0.5570921204546437
R2,test,0.694000557637656
R2,test,0.5621036072478134
R2,test,0.6030283008355999
MAE,train,0.6273592614753292
MAE,train,0.6221464867304366
MAE,train,0.6058996752000042
MAE,train,0.6199775503979437
MAE,train,0.6260378818465228
MAE,train,0.6303148486462758
MAE,train,0.635318734602164
MAE,train,0.6452706550685597
MAE,train,0.5931820119093024
MAE,train,0.648948644262004
MAE,test,0.8727594998021263
MAE,test,0.9070859050623059
MAE,test,0.8119022405887469
MAE,test,0.9830511943672626
MAE,test,0.8377464808161794
MAE,test,0.8468068567190616
MAE,test,0.8492147715692323
MAE,test,0.7780774681169907
MAE,test,0.9988700741541812
MAE,test,0.8222603193588071
