metric,dataset,value
RMSE,train,0.314183795196893
RMSE,train,0.29347898450836046
RMSE,train,0.29433433993069696
RMSE,train,0.3034156763969335
RMSE,train,0.31040757606158054
RMSE,train,0.3000530818109614
RMSE,train,0.2987723249519677
RMSE,train,0.2949696476781372
RMSE,train,0.3035577022769018
RMSE,train,0.3090520513446591
RMSE,test,1.354172530947207
RMSE,test,1.2756965228205015
RMSE,test,1.340942715490476
RMSE,test,1.3111813140688187
RMSE,test,1.2467024277868648
RMSE,test,1.3101720439819955
RMSE,test,1.3635272508830407
RMSE,test,1.3417228989431604
RMSE,test,1.576120292696302
RMSE,test,1.149592210426457
R2,train,0.9796395140627329
R2,train,0.9818516916711977
R2,train,0.9819538390755116
R2,train,0.9808853493195743
R2,train,0.9797495724451851
R2,train,0.9809535802412097
R2,train,0.9816129797380873
R2,train,0.9817767096789733
R2,train,0.9803978260805047
R2,train,0.9802088743018555
R2,test,0.5644843408584992
R2,test,0.6789188144498328
R2,test,0.6128954487529041
R2,test,0.6123442679190766
R2,test,0.679127288849424
R2,test,0.6733903941324202
R2,test,0.5534031867927611
R2,test,0.6312251747876567
R2,test,0.5395970889599337
R2,test,0.6988981597338644
MAE,train,0.1819496268508914
MAE,train,0.17393638164649658
MAE,train,0.17776459009824544
MAE,train,0.1761715149518783
MAE,train,0.18071993361410635
MAE,train,0.1751673785823868
MAE,train,0.17861956221070077
MAE,train,0.17876869359254186
MAE,train,0.17836418536632506
MAE,train,0.18638584380859466
MAE,test,0.9056746100399566
MAE,test,0.8058576890445388
MAE,test,0.8835983474275734
MAE,test,0.8673003672104624
MAE,test,0.7344360672389096
MAE,test,0.9210433119127167
MAE,test,0.886130709640356
MAE,test,0.8355091414978549
MAE,test,1.0317401803964414
MAE,test,0.7502364185737341
