metric,dataset,value
RMSE,train,0.7065663178281048
RMSE,train,0.6994717601501546
RMSE,train,0.7329289899316483
RMSE,train,0.7180969139108242
RMSE,train,0.7331806860910094
RMSE,train,0.7236048275302025
RMSE,train,0.7020783473229855
RMSE,train,0.7026649065065889
RMSE,train,0.6890605457699324
RMSE,train,0.7166730942460424
RMSE,test,1.4946379727265344
RMSE,test,1.592637548206616
RMSE,test,1.3843940984476903
RMSE,test,1.3696463710135844
RMSE,test,1.4805168919884726
RMSE,test,1.3647207790445035
RMSE,test,1.4804703747610275
RMSE,test,1.3096392433721131
RMSE,test,1.5126168028906362
RMSE,test,1.3149286396300899
R2,train,0.8970262716681686
R2,train,0.8969085840982755
R2,train,0.8881008577701127
R2,train,0.8929327974952573
R2,train,0.8870225926624713
R2,train,0.8892305296399378
R2,train,0.8984682714860084
R2,train,0.8965885415830895
R2,train,0.8989964840276373
R2,train,0.8935735841783681
R2,test,0.46944819263180226
R2,test,0.4995576954943247
R2,test,0.5874018225934221
R2,test,0.5770026860683699
R2,test,0.5474840338475586
R2,test,0.6456275876137973
R2,test,0.473513283376536
R2,test,0.6486508051891509
R2,test,0.5759498897029651
R2,test,0.6060599332062457
MAE,train,0.45263791890909955
MAE,train,0.4492216479062401
MAE,train,0.4692477901563972
MAE,train,0.46416738328339574
MAE,train,0.4758584726318338
MAE,train,0.4655372280826512
MAE,train,0.4497800855748346
MAE,train,0.45473455204834773
MAE,train,0.44367079211743893
MAE,train,0.46301116219228977
MAE,test,0.9736543837557592
MAE,test,1.0054153491210238
MAE,test,0.9153590660525701
MAE,test,0.9207208763231544
MAE,test,0.8711495764585641
MAE,test,0.9051890859306572
MAE,test,0.9477685053143219
MAE,test,0.8213767217189115
MAE,test,0.9961317463431533
MAE,test,0.948523724051456
