metric,dataset,value
RMSE,train,0.6816642910288169
RMSE,train,0.6976656045189961
RMSE,train,0.6755881377116824
RMSE,train,0.7074720798520224
RMSE,train,0.6857230809946854
RMSE,train,0.6862903577766376
RMSE,train,0.6680957508973908
RMSE,train,0.7034838976056975
RMSE,train,0.6871825406227853
RMSE,train,0.6851339229436024
RMSE,test,1.455555005475629
RMSE,test,1.3748480958865597
RMSE,test,1.3727415274820811
RMSE,test,1.5073372021110483
RMSE,test,1.2767133853697645
RMSE,test,1.3324518426125131
RMSE,test,1.4024672378564491
RMSE,test,1.1942248017356005
RMSE,test,1.4237885068738714
RMSE,test,1.1835016407176249
R2,train,0.9041567208334063
R2,train,0.897440296035615
R2,train,0.9049248567480245
R2,train,0.8960776532577304
R2,train,0.9011749352171549
R2,train,0.9003601735649361
R2,train,0.9080592503207455
R2,train,0.8963473386420973
R2,train,0.8995462953168782
R2,train,0.9027346445165275
R2,test,0.4968319935381601
R2,test,0.6270680883371393
R2,test,0.5943183438047424
R2,test,0.4876797251546282
R2,test,0.6634930822510501
R2,test,0.6621877919392367
R2,test,0.5275308838331215
R2,test,0.7078487324589673
R2,test,0.6242921187241111
R2,test,0.6808730263360605
MAE,train,0.39347604052879603
MAE,train,0.40439816560882463
MAE,train,0.39792147912115805
MAE,train,0.40838320811632844
MAE,train,0.3958134334232655
MAE,train,0.4098885821103121
MAE,train,0.3945994609039079
MAE,train,0.413902651110984
MAE,train,0.40388288578138504
MAE,train,0.41020769350001185
MAE,test,0.9665965542726197
MAE,test,0.8338831865307342
MAE,test,0.8472797633833072
MAE,test,0.9276244377936875
MAE,test,0.7232092549493068
MAE,test,0.8192175462035657
MAE,test,0.8763449385559361
MAE,test,0.7130237239804471
MAE,test,0.9313505209970308
MAE,test,0.7478718194842485
