metric,dataset,value
RMSE,train,0.9145182769455326
RMSE,train,0.903491118009886
RMSE,train,0.9136060191211838
RMSE,train,0.8861262684693818
RMSE,train,0.9104541326569872
RMSE,train,0.9250249197499908
RMSE,train,0.9144580489757513
RMSE,train,0.9253764759806083
RMSE,train,0.8993020010003026
RMSE,train,0.9368520035699971
RMSE,test,1.417480752486401
RMSE,test,1.4357834786700456
RMSE,test,1.2939924688573272
RMSE,test,1.415658429629331
RMSE,test,1.3669650669470061
RMSE,test,1.2401451552954743
RMSE,test,1.2980191555254417
RMSE,test,1.186346818403663
RMSE,test,1.4950638733111448
RMSE,test,1.0814505765170512
R2,train,0.8274935432879317
R2,train,0.8279994210696549
R2,train,0.8261315181884546
R2,train,0.8369647338179282
R2,train,0.8257849317999215
R2,train,0.8189810534552969
R2,train,0.8277504106798749
R2,train,0.8206468348264218
R2,train,0.8279586491553503
R2,train,0.8181349627953219
R2,test,0.5228113385473223
R2,test,0.5932776692024172
R2,test,0.6395281759961691
R2,test,0.5481048648855111
R2,test,0.6142357250366075
R2,test,0.7073710163983395
R2,test,0.5952841818092338
R2,test,0.7116905073307307
R2,test,0.5857344356205942
R2,test,0.7335356348877127
MAE,train,0.5665905468431217
MAE,train,0.5552626385002606
MAE,train,0.5521216090125665
MAE,train,0.5260453720498984
MAE,train,0.55657503444471
MAE,train,0.5645223085679697
MAE,train,0.5680501139396498
MAE,train,0.57133986796206
MAE,train,0.5474252276263906
MAE,train,0.5766642071680002
MAE,test,0.915561172016296
MAE,test,0.8799261892876261
MAE,test,0.8214125341907109
MAE,test,0.938034030192397
MAE,test,0.7936515623730407
MAE,test,0.8074958502742
MAE,test,0.7947663796643474
MAE,test,0.7379719277055798
MAE,test,0.9998661716725317
MAE,test,0.6790902390688783
Fit_time,train,0.9182000160217285
Fit_time,train,0.9614689350128174
Fit_time,train,0.8951699733734131
Fit_time,train,0.9140121936798096
Fit_time,train,0.9180624485015869
Fit_time,train,0.8973863124847412
Fit_time,train,0.9189612865447998
Fit_time,train,0.9015264511108398
Fit_time,train,0.9314858913421631
Fit_time,train,0.9134750366210938
Fit_time,test,0.005002260208129883
Fit_time,test,0.004999876022338867
Fit_time,test,0.005000114440917969
Fit_time,test,0.003999948501586914
Fit_time,test,0.00500035285949707
Fit_time,test,0.003999948501586914
Fit_time,test,0.003999948501586914
Fit_time,test,0.005000591278076172
Fit_time,test,0.004999637603759766
Fit_time,test,0.004999876022338867
