metric,dataset,value
RMSE,train,0.5674557378765731
RMSE,train,0.5740659373174972
RMSE,train,0.542057500962868
RMSE,train,0.5828582974282519
RMSE,train,0.5741523578003338
RMSE,train,0.5973805965370456
RMSE,train,0.5809332196292573
RMSE,train,0.5861507905064823
RMSE,train,0.5767462721561717
RMSE,train,0.5761694082577832
RMSE,test,1.3149158578429918
RMSE,test,1.1951331190922554
RMSE,test,1.3137243074253242
RMSE,test,1.2577428281403686
RMSE,test,1.347377755787987
RMSE,test,1.1792102273360245
RMSE,test,1.33916316527249
RMSE,test,1.164981938422504
RMSE,test,1.3988984371883557
RMSE,test,1.0806960762020492
R2,train,0.9335821887626351
R2,train,0.9305606430216862
R2,train,0.9387940455581838
R2,train,0.929463110979496
R2,train,0.9307174478402742
R2,train,0.9245047908860154
R2,train,0.9304842769315577
R2,train,0.9280400512682803
R2,train,0.9292394309778881
R2,train,0.9312128007056066
R2,test,0.5893690301430187
R2,test,0.7181924154531425
R2,test,0.6284508279485999
R2,test,0.6432989346248523
R2,test,0.6252117906421508
R2,test,0.7354213652028008
R2,test,0.5692205611803218
R2,test,0.7219813138960764
R2,test,0.6373132334873302
R2,test,0.7339073158853573
MAE,train,0.32303657458916074
MAE,train,0.33134727473052716
MAE,train,0.3156956281321423
MAE,train,0.3352697887491297
MAE,train,0.32966807553335226
MAE,train,0.3474252992161267
MAE,train,0.33840758160421014
MAE,train,0.3411614677295435
MAE,train,0.3345172359514471
MAE,train,0.33748594446137387
MAE,test,0.8394208907815591
MAE,test,0.7482991708892223
MAE,test,0.8374284584102194
MAE,test,0.7768118672841781
MAE,test,0.801923231204222
MAE,test,0.785813956458662
MAE,test,0.7838915104706644
MAE,test,0.6815720328508127
MAE,test,0.9006313061665085
MAE,test,0.6950053520988572
