metric,dataset,value
RMSE,train,1.1855509207572348
RMSE,train,1.2034194637159645
RMSE,train,1.1918579258344033
RMSE,train,1.1770602591310866
RMSE,train,1.1727803937497003
RMSE,train,1.192451078989583
RMSE,train,1.1745530694900201
RMSE,train,1.1926864025684258
RMSE,train,1.1588383741029789
RMSE,train,1.1721476502171477
RMSE,test,1.6248833422187157
RMSE,test,1.7690960338450508
RMSE,test,1.5087943766470697
RMSE,test,1.5980268698747244
RMSE,test,1.5890479840850935
RMSE,test,1.550117343334542
RMSE,test,1.6801500661611433
RMSE,test,1.5750852232032677
RMSE,test,1.8386965937657858
RMSE,test,1.4891718467381485
R2,train,0.7100914656616915
R2,train,0.6948480170666423
R2,train,0.704095250929258
R2,train,0.7123345337715146
R2,train,0.7109300375726937
R2,train,0.699185816361875
R2,train,0.7158315164634871
R2,train,0.7020628416475123
R2,train,0.7143281411895519
R2,train,0.7153102188997644
R2,test,0.3729529229073292
R2,test,0.38251994801817524
R2,test,0.5099189158618936
R2,test,0.42417719312101165
R2,test,0.47870783597222444
R2,test,0.5428050259534339
R2,test,0.3219150232121617
R2,test,0.4917894031470953
R2,test,0.3734157376674929
R2,test,0.4947394163992095
MAE,train,0.7511746574980838
MAE,train,0.7751849249883993
MAE,train,0.7646773507081301
MAE,train,0.759365040993063
MAE,train,0.7569950081557698
MAE,train,0.7690149644429521
MAE,train,0.7462948206967563
MAE,train,0.772866911585399
MAE,train,0.7254202314058531
MAE,train,0.7513128481211736
MAE,test,1.131497592474857
MAE,test,1.0970976415322102
MAE,test,1.0380246908897721
MAE,test,1.0450344025129101
MAE,test,1.035145291331317
MAE,test,0.9872143354788077
MAE,test,1.0933007337334195
MAE,test,1.02460191765172
MAE,test,1.2432152993527348
MAE,test,0.9452336678610713
Fit_time,train,0.494213342666626
Fit_time,train,0.46901464462280273
Fit_time,train,0.5036633014678955
Fit_time,train,0.48574328422546387
Fit_time,train,0.492809534072876
Fit_time,train,0.5058271884918213
Fit_time,train,0.47937488555908203
Fit_time,train,0.4895644187927246
Fit_time,train,0.4914977550506592
Fit_time,train,0.5266094207763672
Fit_time,test,0.0050013065338134766
Fit_time,test,0.004999399185180664
Fit_time,test,0.0037610530853271484
Fit_time,test,0.0039997100830078125
Fit_time,test,0.0053784847259521484
Fit_time,test,0.00433802604675293
Fit_time,test,0.0045642852783203125
Fit_time,test,0.004516124725341797
Fit_time,test,0.00437164306640625
Fit_time,test,0.004077911376953125
