metric,dataset,value
RMSE,train,0.610793221482765
RMSE,train,0.6229535621093885
RMSE,train,0.6238940330490471
RMSE,train,0.6295709970742982
RMSE,train,0.6394002002959205
RMSE,train,0.636969868266541
RMSE,train,0.6427698796893057
RMSE,train,0.6259445561220595
RMSE,train,0.6160016861694096
RMSE,train,0.6302248491131204
RMSE,test,1.5212617402121646
RMSE,test,1.6074889317754568
RMSE,test,1.4376473598839028
RMSE,test,1.5508771314715377
RMSE,test,1.432827211038308
RMSE,test,1.42047655886795
RMSE,test,1.519392002161088
RMSE,test,1.3921686584294561
RMSE,test,1.6264779671993959
RMSE,test,1.4794445922490906
R2,train,0.9230499345912037
R2,train,0.918230097342767
R2,train,0.9189179684392017
R2,train,0.9177038041333726
R2,train,0.9140758770042388
R2,train,0.9141668709211778
R2,train,0.9148976297213018
R2,train,0.9179376653056169
R2,train,0.9192791871913322
R2,train,0.9177002943632525
R2,test,0.4503785663247407
R2,test,0.4901809058644394
R2,test,0.5550486088367685
R2,test,0.4576551862268633
R2,test,0.5761669546447468
R2,test,0.6160802630543039
R2,test,0.4454666783916835
R2,test,0.6029736722206651
R2,test,0.5097069819875456
R2,test,0.5013185719022473
MAE,train,0.4059102136563221
MAE,train,0.4132373038856069
MAE,train,0.41310537729923813
MAE,train,0.41780132174849743
MAE,train,0.4259892981094783
MAE,train,0.42614691593725007
MAE,train,0.4273734705355001
MAE,train,0.4151344669680136
MAE,train,0.4074913109577235
MAE,train,0.41805678321023054
MAE,test,1.0331875626243894
MAE,test,1.078539756832793
MAE,test,0.9628311312996141
MAE,test,1.0371440010392488
MAE,test,0.9168600140214036
MAE,test,0.9621346152597651
MAE,test,0.9748279963022419
MAE,test,0.9189715196041509
MAE,test,1.1046704432539711
MAE,test,1.0380432177382728
Fit_time,train,1.736572027206421
Fit_time,train,1.6365320682525635
Fit_time,train,1.6600737571716309
Fit_time,train,1.7005586624145508
Fit_time,train,1.6481976509094238
Fit_time,train,1.617784023284912
Fit_time,train,1.6498656272888184
Fit_time,train,1.6890437602996826
Fit_time,train,1.7275960445404053
Fit_time,train,1.6292288303375244
Fit_time,test,0.005243062973022461
Fit_time,test,0.004060029983520508
Fit_time,test,0.004030466079711914
Fit_time,test,0.003999471664428711
Fit_time,test,0.0044591426849365234
Fit_time,test,0.0050013065338134766
Fit_time,test,0.004977703094482422
Fit_time,test,0.005001068115234375
Fit_time,test,0.005998849868774414
Fit_time,test,0.0050203800201416016
