metric,dataset,value
RMSE,train,0.8059646169152188
RMSE,train,0.7863158198430724
RMSE,train,0.7917563992855943
RMSE,train,0.8160389126048258
RMSE,train,0.7922864964197329
RMSE,train,0.7971498440288487
RMSE,train,0.7972043912733031
RMSE,train,0.795199038745119
RMSE,train,0.8058883062999
RMSE,train,0.8095069277409925
RMSE,test,1.4097232647338112
RMSE,test,1.441659877607509
RMSE,test,1.3809265107148139
RMSE,test,1.3746010080359818
RMSE,test,1.353570925751927
RMSE,test,1.3927486584999667
RMSE,test,1.6398607598104646
RMSE,test,1.4303255060404412
RMSE,test,1.5253966444529525
RMSE,test,1.2622220318813628
R2,train,0.8660161268419466
R2,train,0.8697204768386952
R2,train,0.8694171563003013
R2,train,0.8617350592995295
R2,train,0.868072880526419
R2,train,0.8655697213385402
R2,train,0.8690908551426291
R2,train,0.8675585801468259
R2,train,0.8618434649778509
R2,train,0.8642160696248118
R2,test,0.5280200946551843
R2,test,0.5899415760482438
R2,test,0.5894661604405678
R2,test,0.573936801433631
R2,test,0.621758473179163
R2,test,0.6309223094011417
R2,test,0.3540455070880585
R2,test,0.5809118621022578
R2,test,0.5687541656357976
R2,test,0.6370077958457091
MAE,train,0.4777576297037981
MAE,train,0.46770979797626777
MAE,train,0.4734656346010136
MAE,train,0.49533158358920276
MAE,train,0.47965758737116204
MAE,train,0.48126072120630486
MAE,train,0.47979318460606757
MAE,train,0.48108041508472466
MAE,train,0.4795260789867201
MAE,train,0.48609457864479083
MAE,test,0.9612265412729409
MAE,test,0.9064334209945112
MAE,test,0.9057402468077276
MAE,test,0.8675839397388463
MAE,test,0.8497017781956927
MAE,test,0.8693494689557019
MAE,test,1.0056954049543962
MAE,test,0.8948903053734824
MAE,test,0.9629987983899464
MAE,test,0.8032349290760148
