metric,dataset,value
RMSE,train,1.7610808816078585
RMSE,train,1.7620434564939969
RMSE,train,1.7505190111513131
RMSE,train,1.764797556232942
RMSE,train,1.7767328507391171
RMSE,train,1.7581271814613288
RMSE,train,1.7714819373020116
RMSE,train,1.7665600349760688
RMSE,train,1.7600250729469742
RMSE,train,1.7734098556478366
RMSE,test,1.8960517949273756
RMSE,test,1.9020700889929234
RMSE,test,2.0176779469787203
RMSE,test,1.895238040687359
RMSE,test,1.8221718844201702
RMSE,test,1.8964285244113988
RMSE,test,1.8691057045836488
RMSE,test,1.9608108640521775
RMSE,test,1.9771569776790419
RMSE,test,1.8988867520551387
R2,train,0.7142347674191665
R2,train,0.7132164975849724
R2,train,0.7156971439470005
R2,train,0.7126444530313386
R2,train,0.7088700279747613
R2,train,0.7149055417735903
R2,train,0.7109363553596247
R2,train,0.7110492812712881
R2,train,0.7132905156655197
R2,train,0.7098399770171151
R2,test,0.6609065747057801
R2,test,0.6663866003448573
R2,test,0.6389672796604738
R2,test,0.6653843454781079
R2,test,0.6893961404603222
R2,test,0.6637667799521507
R2,test,0.6695496170033688
R2,test,0.6529710725542437
R2,test,0.6458797643515304
R2,test,0.6638071038196305
MAE,train,1.326613423384256
MAE,train,1.329889963965659
MAE,train,1.319403902841523
MAE,train,1.3321451434807703
MAE,train,1.339655713334621
MAE,train,1.3281964773224648
MAE,train,1.3349187254190915
MAE,train,1.333133081968777
MAE,train,1.327149760747856
MAE,train,1.335988903506652
MAE,test,1.4420219842263073
MAE,test,1.4237655214568081
MAE,test,1.505122426712116
MAE,test,1.4161197859308503
MAE,test,1.3618331841748221
MAE,test,1.4294579307161863
MAE,test,1.4129639545905113
MAE,test,1.46659656122382
MAE,test,1.4891350520050324
MAE,test,1.4405453431343351
Fit_time,train,10.453259229660034
Fit_time,train,10.47893238067627
Fit_time,train,10.526403903961182
Fit_time,train,10.650437593460083
Fit_time,train,10.227495431900024
Fit_time,train,10.37127685546875
Fit_time,train,11.148341178894043
Fit_time,train,10.537847757339478
Fit_time,train,10.463305473327637
Fit_time,train,10.778428077697754
Fit_time,test,0.01313471794128418
Fit_time,test,0.014000177383422852
Fit_time,test,0.015365839004516602
Fit_time,test,0.012510538101196289
Fit_time,test,0.012999534606933594
Fit_time,test,0.012509584426879883
Fit_time,test,0.019721508026123047
Fit_time,test,0.012000083923339844
Fit_time,test,0.011999368667602539
Fit_time,test,0.012125730514526367
