metric,dataset,value
RMSE,train,1.6498875556394148
RMSE,train,1.6337643131015165
RMSE,train,1.6330505510102966
RMSE,train,1.6306726982682966
RMSE,train,1.644540772789749
RMSE,train,1.6425234445753705
RMSE,train,1.636525065415407
RMSE,train,1.6555282504159297
RMSE,train,1.6373966827557587
RMSE,train,1.6338029126212321
RMSE,test,1.7533137510692816
RMSE,test,1.752238469968797
RMSE,test,1.742118134241956
RMSE,test,1.8255628394058598
RMSE,test,1.7563379404507373
RMSE,test,1.7591896293070013
RMSE,test,1.849937841125819
RMSE,test,1.738836618662056
RMSE,test,1.8574734550989658
RMSE,test,1.7972965746126541
R2,train,0.6943899926213002
R2,train,0.7012588569946561
R2,train,0.7007585887449268
R2,train,0.7013616585861179
R2,train,0.695832869328989
R2,train,0.6970422461431875
R2,train,0.6981314963074894
R2,train,0.6928502546649671
R2,train,0.6987595182787363
R2,train,0.6998957268217565
R2,test,0.6537457174119559
R2,test,0.6441637738456898
R2,test,0.6563059784797618
R2,test,0.6259071922800387
R2,test,0.6580445898876757
R2,test,0.6521310445129958
R2,test,0.627720429180253
R2,test,0.6535402207437707
R2,test,0.6140970755802226
R2,test,0.6402194676781194
MAE,train,1.2047220878154015
MAE,train,1.1942672319571768
MAE,train,1.19108238033712
MAE,train,1.1884480938947426
MAE,train,1.2010210754692217
MAE,train,1.1963947295757227
MAE,train,1.1953680337700932
MAE,train,1.2086999881078555
MAE,train,1.19245159736345
MAE,train,1.1912531394215171
MAE,test,1.2981060822224986
MAE,test,1.2538247425461433
MAE,test,1.2492502035388358
MAE,test,1.3337434865803306
MAE,test,1.2718173808373296
MAE,test,1.3040040517144933
MAE,test,1.3279131578085395
MAE,test,1.273427873934131
MAE,test,1.3469230314227492
MAE,test,1.3018938804432598
Fit_time,train,8.375020980834961
Fit_time,train,7.614311218261719
Fit_time,train,7.170418739318848
Fit_time,train,7.320977449417114
Fit_time,train,7.213619709014893
Fit_time,train,7.176693916320801
Fit_time,train,7.0211145877838135
Fit_time,train,7.507112741470337
Fit_time,train,7.5866217613220215
Fit_time,train,7.026313543319702
Fit_time,test,0.012015342712402344
Fit_time,test,0.011007070541381836
Fit_time,test,0.010999917984008789
Fit_time,test,0.0120086669921875
Fit_time,test,0.01400303840637207
Fit_time,test,0.01100015640258789
Fit_time,test,0.01100015640258789
Fit_time,test,0.017999649047851562
Fit_time,test,0.013229131698608398
Fit_time,test,0.011509895324707031
