metric,dataset,value
RMSE,train,2.854782335097745
RMSE,train,2.5614806217828474
RMSE,train,2.2572744183716797
RMSE,train,2.2604082754890573
RMSE,train,2.9889751351765397
RMSE,train,2.3602871173840816
RMSE,train,2.300088723171445
RMSE,train,2.2442868071405395
RMSE,train,2.3940556662197694
RMSE,train,2.604763867884013
RMSE,test,2.686246801545736
RMSE,test,2.3962107706614795
RMSE,test,2.2640425845073873
RMSE,test,2.1809268832327517
RMSE,test,2.9139836277655613
RMSE,test,2.177885780716343
RMSE,test,2.1243006733581944
RMSE,test,2.842334101389367
RMSE,test,2.2422684179717742
RMSE,test,2.4448330442689468
R2,train,0.24907463788986206
R2,train,0.3939574956893921
R2,train,0.5272666215896606
R2,train,0.5285847783088684
R2,train,0.17607581615447998
R2,train,0.4861719012260437
R2,train,0.5126856565475464
R2,train,0.5336374640464783
R2,train,0.4695153832435608
R2,train,0.3740262985229492
R2,test,0.31937044858932495
R2,test,0.47053104639053345
R2,test,0.5454182624816895
R2,test,0.5569007992744446
R2,test,0.2056673765182495
R2,test,0.5565569400787354
R2,test,0.5731546878814697
R2,test,0.2708035707473755
R2,test,0.5445469617843628
R2,test,0.4427003264427185
MAE,train,2.331740617752075
MAE,train,2.0337839126586914
MAE,train,1.7502037286758423
MAE,train,1.7470853328704834
MAE,train,2.4804654121398926
MAE,train,1.8322495222091675
MAE,train,1.7782493829727173
MAE,train,1.728467345237732
MAE,train,1.8681342601776123
MAE,train,2.070680618286133
MAE,test,2.219984769821167
MAE,test,1.841629981994629
MAE,test,1.69694185256958
MAE,test,1.641696810722351
MAE,test,2.4515187740325928
MAE,test,1.6529920101165771
MAE,test,1.6052768230438232
MAE,test,2.220590591430664
MAE,test,1.7300546169281006
MAE,test,1.9209964275360107
Fit_time,train,960.5884990692139
Fit_time,train,912.1741936206818
Fit_time,train,897.9316194057465
Fit_time,train,850.5183203220367
Fit_time,train,969.1695380210876
Fit_time,train,994.7012348175049
Fit_time,train,1009.8526132106781
Fit_time,train,1020.1077473163605
Fit_time,train,1021.4488060474396
Fit_time,train,1023.3784365653992
Fit_time,test,0.3484666347503662
Fit_time,test,0.29230451583862305
Fit_time,test,0.293118953704834
Fit_time,test,0.27935075759887695
Fit_time,test,0.32340431213378906
Fit_time,test,0.35660433769226074
Fit_time,test,0.34954833984375
Fit_time,test,0.3711507320404053
Fit_time,test,0.3686363697052002
Fit_time,test,0.34552526473999023
