metric,dataset,value
RMSE,train,1.7353915084911078
RMSE,train,1.7367355552458148
RMSE,train,1.743447288848255
RMSE,train,1.7391294907128914
RMSE,train,1.735917573062143
RMSE,train,1.7381994557943043
RMSE,train,1.7170385723150015
RMSE,train,1.726876485181917
RMSE,train,1.7471120960151065
RMSE,train,1.7471452110562782
RMSE,test,1.8176082074930933
RMSE,test,1.8762641151909951
RMSE,test,1.8715085964563765
RMSE,test,1.853247916603162
RMSE,test,1.8944212979861164
RMSE,test,1.926610610787816
RMSE,test,1.87737822284029
RMSE,test,1.922595555294776
RMSE,test,1.9392452674590155
RMSE,test,1.8554299764955593
R2,train,0.7226611250965935
R2,train,0.7204756768876139
R2,train,0.7188857009066755
R2,train,0.7207467733275961
R2,train,0.721696478028327
R2,train,0.7200520246420037
R2,train,0.7279799674268999
R2,train,0.7240918977859001
R2,train,0.7173207792401733
R2,train,0.718087959168801
R2,test,0.683970799158562
R2,test,0.6819660238381693
R2,test,0.6778057101932051
R2,test,0.6792325932398162
R2,test,0.6656209602790608
R2,test,0.6641805519371011
R2,test,0.6688002044414894
R2,test,0.6612244398701971
R2,test,0.6579611374812551
R2,test,0.6791855206043906
MAE,train,1.3000471984504731
MAE,train,1.3021911483494615
MAE,train,1.3039830251179896
MAE,train,1.3046914403579903
MAE,train,1.304862784480954
MAE,train,1.3047379483273582
MAE,train,1.286861903309353
MAE,train,1.2932663092669197
MAE,train,1.3120801036914358
MAE,train,1.3089002610125606
MAE,test,1.3710094890229823
MAE,test,1.4124048656610004
MAE,test,1.399431319225463
MAE,test,1.3827320826883542
MAE,test,1.3939288316755234
MAE,test,1.4393491718720095
MAE,test,1.372919723081719
MAE,test,1.4350856359312327
MAE,test,1.4437908823700865
MAE,test,1.4025741362656132
Fit_time,train,1.6720809936523438
Fit_time,train,1.756640911102295
Fit_time,train,1.5587356090545654
Fit_time,train,1.701962947845459
Fit_time,train,1.546191692352295
Fit_time,train,1.5263087749481201
Fit_time,train,1.5789637565612793
Fit_time,train,1.5771987438201904
Fit_time,train,1.5483496189117432
Fit_time,train,1.5659561157226562
Fit_time,test,0.007030963897705078
Fit_time,test,0.00757288932800293
Fit_time,test,0.007055759429931641
Fit_time,test,0.008286237716674805
Fit_time,test,0.00750732421875
Fit_time,test,0.008030176162719727
Fit_time,test,0.009511470794677734
Fit_time,test,0.00717616081237793
Fit_time,test,0.006972312927246094
Fit_time,test,0.006556987762451172
